 	non	ha	da	mangiare	</S>
e	0.474272352	0.0560860415	0.00964093605	0.0296725431	0.430328142
n	0.166038057767	0.334291037167	0.0191978765167	0.0488966763667	0.431576385
è	0.0580866230223	0.714143662389	0.0229533328389	0.0512186161222	0.153597774667
c	0.0211096451074	0.767251137463	0.030178869613	0.117525722707	0.0639345882223
h	0.0109512648025	0.608529852488	0.193693514538	0.148779680902	0.0380456474074
i	0.00855481593417	0.370197602829	0.461538034846	0.136025796967	0.0236837598025
n	0.00610533031139	0.16284145761	0.507249668282	0.289239195656	0.0345643506008
a	0.0196767164371	0.12465201387	0.360769446094	0.443569571885	0.0513322545336
f	0.022893265979	0.108911524073	0.199016503365	0.634163343962	0.0350153815112
à	0.00863325532633	0.0395447008077	0.0890711107883	0.843245127987	0.0195057771704
i	0.0600551766088	0.196004990269	0.0966320452628	0.631465815996	0.0158419490568
</S>	0.114721688304	0.367660995135	0.129613137631	0.373848347998	0.0141558480284
