 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
e	0.8184097	0.132469704	0.00393094325	0.00069742311	0.000726727255	0.00023479805	0.00088163355	0.029864268465	0.0127848735
j	0.548542766667	0.352261814667	0.01694223925	0.00201280403667	0.00195443245167	0.00091047945	0.00181671671667	0.035942090155	0.0396167091667
i	0.251453768556	0.567314238222	0.0225085320833	0.00349588317889	0.00330286658389	0.00636666225	0.00225351867222	0.023160159385	0.120144386389
n	0.104122466852	0.546754899407	0.169303441361	0.00574607155963	0.0048785272613	0.00817726561667	0.00265486522407	0.0292675031283	0.129094938796
è	0.0461657134507	0.643088599802	0.217272430287	0.00516017481321	0.00407027470943	0.00345357189556	0.00220451354302	0.0263917445128	0.0521929480187
k	0.0166648225169	0.843934833267	0.103546583262	0.00341686843107	0.00174211369214	0.00175321505519	0.000777330772673	0.00947165847427	0.0186925501929
a	0.00859238520563	0.605894241089	0.350540371087	0.0107827170104	0.00408491096405	0.00209692278506	0.00182975538089	0.00789274432476	0.00828590179763
p	0.00649635660188	0.277153173696	0.622935490362	0.0478902203368	0.0119227438214	0.00217696709502	0.0033421533603	0.0241102661083	0.00397256493254
u	0.00784412190063	0.173409354565	0.699066196787	0.0649494151123	0.0132696576071	0.00265422369834	0.0028768282201	0.0268489693694	0.00908121801085
l	0.00755517139021	0.0890613993883	0.739054212262	0.0930356533708	0.0288702345357	0.00345642996611	0.00437734827337	0.0233037517898	0.011285840137
i	0.00375241822007	0.0416131876628	0.742601797421	0.135352504457	0.0367561408452	0.00335691905537	0.00477204289112	0.0229944515966	0.008800572179
z	0.00260628707336	0.0265816464543	0.656984165807	0.202130341486	0.0660729462817	0.00545605068512	0.00784891343037	0.0245784658655	0.00774121032633
z	0.00210444179112	0.0214079727181	0.435592828602	0.375280613829	0.101499442094	0.0163582305617	0.0105598538101	0.0331254506218	0.00407119607544
è	0.00176657676371	0.0197379995727	0.307069862867	0.50114730461	0.109018767365	0.0298798575206	0.00656319030337	0.0225929340406	0.00222352261515
i	0.00489846465457	0.0107624075242	0.244172167622	0.456293288203	0.198580629122	0.0253061077069	0.0405332198011	0.0182021835135	0.00125155999505
o	0.0123947132182	0.0194547305081	0.136679844874	0.368623356068	0.296193476374	0.0518742944356	0.0557619141004	0.0255720051712	0.0334456942317
s	0.0129908129727	0.027900021836	0.0561805652913	0.315525375356	0.375289398791	0.0759555771452	0.0595279622001	0.0319763493904	0.0446539429106
p	0.00753327915757	0.0205575742787	0.0301507060971	0.345000075119	0.437384806264	0.0477194557151	0.0601158124	0.0356309124635	0.0159073729102
ì	0.00366836529919	0.0102901335929	0.0173689313657	0.295946011706	0.516949648755	0.0471618595717	0.0706459724667	0.0325503411545	0.0054187505984
t	0.00141245846306	0.00383287357097	0.0083693192219	0.195937540569	0.562330106252	0.116938616524	0.0795733628222	0.0286957720515	0.00290996875447
i	0.00133231083769	0.00230525036366	0.00783835584063	0.144939925856	0.394517795417	0.273972715508	0.117219336274	0.0486019776838	0.00927232861816
o	0.00446414457923	0.0115704320879	0.0113698919469	0.063873821952	0.196654099806	0.283764620169	0.310660138758	0.0834528738946	0.0341899792061
à	0.00565693719308	0.014103937696	0.0135351909823	0.028787026784	0.101388959602	0.128899613923	0.578101412919	0.0911876579649	0.0383392917354
n	0.00297545169103	0.00517726163533	0.00963254506077	0.0126555315613	0.0723848282007	0.0551418045077	0.63820364764	0.187335119322	0.0164938277785
t	0.00143129202368	0.00229097251511	0.00568498555359	0.0406731060204	0.1549190094	0.100111119169	0.388631347547	0.265346819774	0.0409113344595
r	0.00090808291456	0.00141282926504	0.0043220997512	0.0497402729401	0.177115893133	0.13549129639	0.277587827516	0.273192819925	0.0802288548198
e	0.000800423178187	0.00085352148168	0.0068772403504	0.0210245029134	0.0930072593777	0.0915153527967	0.405970332505	0.314202486642	0.0657488782733
p	0.000928836626062	0.00145752462723	0.0078492706168	0.0108934649711	0.0476612547926	0.0693993482656	0.459433604168	0.341557005547	0.0608196544244
o	0.00202063530869	0.00255529014241	0.00496309453893	0.0102293459904	0.0279414735975	0.0484850576885	0.317746764723	0.533054495182	0.0530037848081
d	0.0021604957929	0.00205053934747	0.00365582749964	0.00914958815013	0.0162705665325	0.0275715618295	0.177762961574	0.732094515061	0.029283905936
è	0.0008003086193	0.000784238655823	0.00135380627988	0.00329735356338	0.0063834733775	0.0192550842765	0.121097939858	0.82016058502	0.0268671639787
g	0.000374438194767	0.000443859908608	0.00054960298996	0.00154702061446	0.0033048039925	0.00836817205883	0.0579221326193	0.90573122834	0.0217586996596
g	0.000216477749256	0.000332590599536	0.00029147291332	0.00105775585482	0.00250158806417	0.00496067661961	0.0292538915398	0.85827534278	0.10311016222
h	0.000108950649752	0.000177252869845	0.00025492649444	0.000860021968273	0.00244227492139	0.00344944070654	0.0156478518466	0.769435927593	0.207623344073
e	0.00149929015558	0.000750614446615	0.0212866893748	0.00758400442276	0.0245020521405	0.0131924041022	0.0480033662822	0.719708842531	0.163472730024
</S>	0.00291698592779	0.00137745872331	0.0423106496874	0.0143574032114	0.0465085610702	0.0234458520511	0.0834931906411	0.688018071265	0.097571788012
