 	avete	fatto	già	le	verdure	</S>
i	0.508878448	0.4752160867	0.00095105118	0.00117257395	0.00295852175	0.01082325945
k	0.206677101333	0.7124997289	0.0253208012933	0.00680016511667	0.0280523639167	0.0206498004833
à	0.114937572444	0.779933499633	0.0375524280978	0.0121012247056	0.0367409109722	0.0187343627278
m	0.0641944268147	0.728427989878	0.0852263836993	0.0419037625685	0.0563064353241	0.0239410221426
a	0.0504592996049	0.454203246626	0.220664101233	0.111847317523	0.132837315108	0.0299887480475
t	0.0398833622016	0.205209012209	0.454829240411	0.120559609174	0.163435938369	0.0160828868958
o	0.0409923917339	0.081922743403	0.54184146347	0.111313229725	0.170672766123	0.0532574041786
g	0.0424012558113	0.033709804301	0.483906671157	0.173945099908	0.199443775374	0.0665933519262
i	0.0307088735038	0.015114554267	0.490391377052	0.230187306636	0.191232181791	0.0423656678421
à	0.0319210291679	0.00875282265567	0.335276124684	0.336545475545	0.252395337264	0.0351091618474
t	0.018768603156	0.00378992998522	0.140185401228	0.533060268515	0.286413022421	0.0177827501825
a	0.0172557068187	0.00369411919507	0.076531151076	0.494653362838	0.379194607474	0.0286710127275
l	0.0166953657729	0.00404521406502	0.0411621349253	0.446023984279	0.462385535825	0.0296877450425
à	0.00771568829097	0.00208570237501	0.0175581365418	0.384245986426	0.576224458608	0.0121700702475
c	0.00452170996366	0.00096329485167	0.00907735624727	0.172991310475	0.802025532869	0.0104208045158
h	0.00308059465455	0.00059247337389	0.00584984524909	0.136970373492	0.82787295429	0.0256337231719
a	0.00508246755152	0.00430449450796	0.00730548918303	0.127101066164	0.82954956143	0.0266569013906
n	0.00477688297051	0.00567220510265	0.00579009219434	0.0717631257213	0.842175670477	0.0698220001302
a	0.0157833267768	0.00793273663422	0.0199739471981	0.137875940574	0.732890590159	0.0855434307101
</S>	0.0288063168884	0.0124587553171	0.0367367765991	0.231692655287	0.643282020079	0.047023466355
