 	perché	aveva	lavorato	molto	</S>
j	0.85965645	0.0401655555	0.0066613067	0.03446485425	0.059051806215
a	0.797255883333	0.0867261285	0.00828203803333	0.03922280975	0.0685131200717
t	0.599989767778	0.324331102833	0.00786083281111	0.0334873239167	0.0343309408906
ì	0.358354742593	0.589386334278	0.0097007966037	0.0292598216389	0.0132982535969
ì	0.225429832531	0.718200411426	0.0117640868679	0.0384541985463	0.0061514297323
c	0.0952270675103	0.846547370475	0.0139773686226	0.0394050807821	0.00484306911077
h	0.0387830701701	0.833575523492	0.0609344732075	0.0542734268607	0.0124334904703
e	0.02074893039	0.568623027831	0.308958167736	0.0868239056202	0.0148459663234
p	0.01537096793	0.333984429277	0.542298749245	0.0813779832067	0.0269678452745
o	0.0123030384433	0.218504689759	0.588770173082	0.138926097736	0.0414959684248
l	0.0091682719811	0.0979461615863	0.695042854361	0.161725355912	0.0361173261416
e	0.0036924738937	0.0370054983288	0.845795734787	0.088377820304	0.0251284590472
m	0.0072216066979	0.0545908689096	0.807652411596	0.0847140484347	0.0458210433491
ì	0.00860751933263	0.0605750749699	0.797141670532	0.0814856738116	0.052189999783
s	0.00379985087754	0.0271443853233	0.894595203511	0.0405347329372	0.0339257829277
o	0.00760519429251	0.0261782314411	0.805365647837	0.133145184979	0.0277057245092
n	0.00876196917417	0.0216300733804	0.632006342612	0.293135554993	0.0444660407031
t	0.00410820023472	0.0110150846935	0.478294090871	0.349633238331	0.156949370234
a	0.00563535251157	0.0134942558978	0.31588984029	0.50261508611	0.162365481411
p	0.00523955892052	0.0112697278659	0.170285131097	0.70626709537	0.10693851847
o	0.00659592872351	0.030918371522	0.119779028032	0.755571865123	0.0871347899567
d	0.00703526550117	0.0373531784873	0.0942974570107	0.830420041708	0.0308940421189
d	0.00901659076039	0.0212961088091	0.170004920004	0.748463767236	0.0512186290396
h	0.0128591569201	0.0196236972697	0.205003466668	0.700186789079	0.0623269090132
ì	0.0126257594734	0.0180811134232	0.0935147282227	0.84340177636	0.0323766170044
</S>	0.0139282494867	0.0206537267116	0.0605839531114	0.88026400818	0.0245700255022
