 	il	morto	si	piange	</S>
o	0.756298755	0.088618512	0.045487749	0.0845989465	0.02499601535
a	0.443421337	0.367887637333	0.0472046096667	0.0999847971667	0.0415016207833
p	0.1536667316	0.731399879111	0.0268554488889	0.0556469522222	0.0324310081278
e	0.0689387011333	0.85087030637	0.028635301963	0.0329862712407	0.0185694555759
t	0.0405252918278	0.881052282123	0.0359377496543	0.0283735494136	0.014111191992
a	0.0243948587259	0.903063894041	0.0342390922181	0.0219248674712	0.0163773587973
m	0.0209854845753	0.75111526468	0.061999985406	0.130083460157	0.0358158769324
m	0.0121901401918	0.604398864893	0.153497803135	0.196555872052	0.0333573998775
è	0.0182450103973	0.545697798298	0.307852881045	0.110955464351	0.0172489188592
n	0.0174490649658	0.561240599433	0.337322097015	0.066759258117	0.0172290322864
o	0.0596730931553	0.478580909811	0.305162479005	0.0874542343723	0.0691293000955
i	0.0961769457184	0.309397279937	0.355958249668	0.107369174791	0.131098353365
k	0.0557091715061	0.210267333312	0.360844293223	0.275846488264	0.0973327147883
l	0.0212013097687	0.131420371104	0.316357677741	0.494060462755	0.0369601466961
è	0.0103964072562	0.102993667035	0.28232005258	0.569786287585	0.0345035569987
e	0.0159249497521	0.154359112345	0.386839217527	0.406770041528	0.0361066809996
t	0.016616778784	0.176976468448	0.340942153176	0.430069059509	0.0353955489999
e	0.008239826228	0.107895060483	0.343334745059	0.507710419836	0.0328199693333
</S>	0.007397776264	0.103107290242	0.500547742529	0.369948509918	0.0189987041667
