 	non	sapeva	dove	a	stare	</S>
e	0.4838193491	0.0536049585	0.001826559765	0.0024143695	0.0107438634	0.44759093265
n	0.163891017933	0.368157442833	0.005982076765	0.00291060176667	0.0115883593	0.44747046035
ì	0.0566934813777	0.762228764278	0.0106999949217	0.00387072348889	0.00827935993333	0.158227643583
s	0.0208687435926	0.894561101426	0.00927642420723	0.00519917692963	0.00767603351111	0.0624185534277
s	0.0126671680975	0.733957503809	0.0343031619691	0.0488925625099	0.142877652704	0.0273020057092
e	0.0134318083658	0.36477833927	0.304461687323	0.10061629617	0.201565144235	0.0151467799031
r	0.0099346497886	0.15289274109	0.595406502441	0.10432525739	0.119924524745	0.0175163669677
e	0.0114375715962	0.0799553716967	0.607975450814	0.151795682463	0.122767224915	0.0260687073226
p	0.0120642009987	0.0366302668989	0.433481506938	0.316331070821	0.176945161638	0.0245477971075
u	0.0105817051329	0.018631840833	0.208915178979	0.431556790274	0.304735863879	0.0255786607025
n	0.00944038777763	0.0104052249777	0.0920806523263	0.463419563425	0.399837304626	0.0248169102342
a	0.00586458385921	0.00662147339257	0.0416355406754	0.474580931142	0.453584108209	0.0177133680781
s	0.0053219909864	0.00692944436419	0.0208570957918	0.382671067047	0.570545322736	0.013675061026
t	0.0042281628288	0.00721447945473	0.0133591730306	0.233266609016	0.730672160912	0.0112594050087
a	0.0102283299429	0.0118703591516	0.0164093281102	0.174641466339	0.774240940304	0.0126095776696
s	0.0136609233143	0.0196878480505	0.0267458217034	0.16787131878	0.761138700101	0.0108953864565
ì	0.0103550997714	0.0222545310168	0.0261870839011	0.144785362927	0.777428590034	0.0189893330522
</S>	0.0102064878857	0.0228207665084	0.0231951799505	0.144839506464	0.767582280017	0.0313557895261
