 	era	molto	stanco	</S>
ì	0.983385175	0.012029332	0.00368752385	0.00089801302
o	0.699678041667	0.0149121693333	0.0141958975167	0.271213935587
n	0.348836397222	0.187124033778	0.0220730035056	0.441966605196
e	0.208205121074	0.503953131259	0.0490322568352	0.238809526065
p	0.0957515370247	0.705766463753	0.0889771089451	0.109504902355
o	0.0503616226749	0.724384904584	0.138600646315	0.0866528221183
d	0.0308865675583	0.657548904861	0.249874012105	0.0616905161728
d	0.0177824848528	0.654816654954	0.300812527368	0.0265883211909
h	0.0109628454176	0.561540171651	0.410573755789	0.0169232080636
ì	0.00851769660587	0.350032383884	0.620304518596	0.0211454046879
s	0.00915516020196	0.203174927961	0.723514306199	0.0641556215626
t	0.00787200140065	0.100737459987	0.735233958733	0.156156573854
r	0.00451516536688	0.0399786915957	0.698594092911	0.256912024618
à	0.00272701515563	0.0169959111319	0.77416808097	0.206108975539
k	0.00213886735188	0.0089222764773	0.862244260323	0.126694582513
k	0.00269314488396	0.0045924583591	0.668064580108	0.324649817504
o	0.020428159228	0.091811832553	0.536373806703	0.351386207835
</S>	0.037373829614	0.179969696277	0.586056683351	0.196599786918
