 	forse	sono	usciti	</S>
f	0.97378088	0.00296294305	0.014840078	0.00841606115
ò	0.95769198	0.00955896418333	0.025113766	0.00763524146667
r	0.934358126667	0.0227948650611	0.0280591353333	0.0147878249056
s	0.616516583889	0.10126120702	0.0305738201111	0.251648361635
i	0.209431085963	0.33328952234	0.127560731704	0.329718667212
e	0.074622715321	0.39472805078	0.386737167235	0.143912095737
g	0.032468328107	0.48364480026	0.408925330745	0.0749615079123
g	0.014637588179	0.763093440087	0.184395087582	0.0378738219708
u	0.00571723126967	0.678072146696	0.293513864861	0.0226967036569
ì	0.0107799034899	0.344221235565	0.629601778287	0.015397054219
k	0.0123904766966	0.263340918522	0.540141164096	0.184127428073
a	0.00803861076553	0.294931032841	0.437450802699	0.259579532691
n	0.00660179832184	0.185157186614	0.5974578009	0.210783190897
e	0.0160568365073	0.231919261205	0.546915406967	0.205108486966
</S>	0.0279502222537	0.343447105603	0.471829263484	0.156773418483
