 	non	sono	andati	</S>
e	0.481350612	0.034018317	0.0658644725	0.418766672
n	0.1732267885	0.296003409667	0.106756394167	0.424013426667
è	0.0626018492333	0.679502469889	0.0985548280557	0.159340829222
c	0.0246359218111	0.718853389963	0.172511399352	0.083999278074
h	0.0123608437704	0.509668899988	0.422915866451	0.0550543906913
u	0.0164587542568	0.364153413329	0.58279029215	0.0365975175638
n	0.0158089919189	0.235313233276	0.697820337383	0.0510573991879
e	0.060410352473	0.289826749925	0.590355079128	0.059407784396
p	0.080560768491	0.311881699308	0.544354463043	0.0632030594653
a	0.0953155271637	0.170382052436	0.683190211014	0.0511122098218
m	0.144887495721	0.124027533479	0.690436870338	0.0406480999406
è	0.11254599524	0.174461503826	0.664767713446	0.0482247983135
n	0.0622294184133	0.218368246275	0.660174837815	0.0592275194378
a	0.0823860461378	0.286266207092	0.541387569272	0.0899601881459
</S>	0.116935848069	0.414366423546	0.363690254636	0.105007474073
