 	venne	scritto	</S>
ì	0.99025875	0.00852516495	0.00121605865
r	0.97728625	0.0175642226167	0.00514950851667
t	0.644097456	0.347010574206	0.00889197883889
e	0.319612898	0.666709891402	0.0136772299463
g	0.222018619333	0.758092330467	0.0198890783154
r	0.0884926250443	0.882294510156	0.0292129044385
a	0.0460905102814	0.914771403385	0.0391380968128
m	0.0319992291605	0.933847447795	0.0341533192709
m	0.0129268425868	0.940435495932	0.0466376684236
è	0.0993526613289	0.757348258644	0.143299074475
n	0.126213258656	0.454246696215	0.419540031492
o	0.270893731099	0.298978782072	0.430127492831
</S>	0.47847419055	0.279341591036	0.242184239916
