 	ho	cosa	a	fare	</S>
è	0.864399195	0.01041053185	0.0098016636	0.0644090125	0.0509796104
c	0.820615131667	0.0165152716167	0.0205335118667	0.0752245308333	0.0671116001333
h	0.563865577889	0.309313086539	0.0324328919556	0.0534931369444	0.0408953005778
o	0.23033440163	0.428899980846	0.282454417319	0.0407094789815	0.0176016831593
t	0.12263345421	0.219922142282	0.437368005773	0.17046959966	0.0496067868198
i	0.124678323403	0.145516542427	0.426778621924	0.22968233322	0.0733442009399
k	0.120017659701	0.0739269899423	0.418159323975	0.332447524407	0.05544852698
à	0.050593767467	0.0362941754474	0.426568787992	0.440319151469	0.0462241289933
i	0.240672611489	0.0761683964825	0.407143245997	0.24577123449	0.0302445046644
</S>	0.443110625744	0.119112153241	0.291106222999	0.127250263245	0.0194207068322
