 	entrò	da	qui	</S>
m	0.91010365	0.0191018605	0.0619044965	0.0088900477
b	0.782896016667	0.0557778088333	0.152346596833	0.00897957573333
ì	0.483325822222	0.340136297611	0.171849568944	0.00468828701111
k	0.241288027407	0.459291109204	0.289126919648	0.0102939156037
e	0.154583189136	0.404298746401	0.421766093216	0.0193519315346
a	0.104251449712	0.339186165467	0.530991441072	0.0255709115115
p	0.0717373824373	0.133147403489	0.775765817024	0.0193494016105
ò	0.0308513613458	0.0615523718297	0.900774232341	0.00682206610017
t	0.0155327238986	0.0369556712766	0.937701957447	0.00980967549006
t	0.0138065784162	0.0240417047589	0.812880419149	0.14927130683
u	0.0762039644721	0.133210494253	0.597515596383	0.19306994361
</S>	0.132892322236	0.238607727127	0.525169333191	0.103330613805
