 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a	0.489964635	0.15075857	0.0030407778	0.0032091007	0.00093377938	0.000661910455	0.0037995813	0.0045796202	0.0089197765	0.0120392707	0.32209295455
n	0.221411713367	0.41574214	0.00495053213333	0.00262101326667	0.000684358646667	0.000383138361667	0.00279633263333	0.00349662646667	0.00882171233333	0.0168804312333	0.322211955517
ì	0.075820086689	0.766674213333	0.00829453504444	0.00290974698889	0.00163303654889	0.000970908727222	0.00216899614444	0.00241789255556	0.00638951777778	0.0236244510778	0.109096573739
c	0.0297575364297	0.820225357778	0.0471626600148	0.00396407446296	0.0020158621163	0.00118175890907	0.00166718048148	0.00179154885185	0.00489151768593	0.0499655970259	0.0373769353463
h	0.0147082930099	0.604964152593	0.284353340005	0.00843393115432	0.0043849305721	0.00466936080302	0.00159466846049	0.00170028328395	0.00789214332198	0.0544167570086	0.0128821964488
e	0.00965608586997	0.323950510864	0.529848713335	0.0624666497181	0.0095878311907	0.00645984270101	0.00316987162016	0.00297169222798	0.010308949774	0.0370847770029	0.00449510107793
n	0.00993932195666	0.173940430288	0.561106037778	0.0851173822394	0.0123085413969	0.007216253167	0.00749670120672	0.00967414054266	0.00625953759133	0.124675057668	0.00226663015431
d	0.0227727929856	0.0788669265627	0.566697522593	0.0535666830798	0.0266647894656	0.048782069889	0.00781890040224	0.0107615737809	0.0170181801971	0.164443179223	0.00260740228477
ì	0.0239916583619	0.0286309793876	0.533866230864	0.182204217693	0.0517220431552	0.0647902112963	0.00503912243408	0.00518136959363	0.021279190599	0.0813029284077	0.00199205610159
s	0.00981401535397	0.0122200105292	0.460688970288	0.279680972564	0.0995542910517	0.0494601117654	0.00487514097803	0.00483653426454	0.0154019363997	0.0604238414692	0.00304417324053
o	0.00683568531799	0.0064655357764	0.299552706429	0.400757070855	0.140040193684	0.0534291082551	0.00906405519268	0.00741145242151	0.0160153404666	0.0564766414897	0.00395220804684
n	0.00739431563933	0.00562785619213	0.12932614181	0.522204236952	0.115640663561	0.0375837834184	0.0262768947309	0.0196391594738	0.0109766731555	0.122637241497	0.00269303871561
t	0.0130724620798	0.00464318996404	0.07153313327	0.424810515651	0.13338848352	0.0682960741395	0.028525023577	0.0219370238246	0.0326080247185	0.196378617166	0.00480742207187
a	0.0165613290266	0.00281204265468	0.03379372209	0.39793676855	0.225797271173	0.104169844713	0.0169456621923	0.0117282502749	0.0450599815728	0.140387418055	0.00480768290396
i	0.0326403233422	0.00661453598489	0.01775133213	0.304029251183	0.349770227058	0.127492774904	0.0185503920641	0.00907326592497	0.0488316471909	0.074451900685	0.0107943275147
k	0.0628634177807	0.00863978046163	0.00726551774333	0.165700442061	0.322093299019	0.124361550635	0.109505510688	0.063709277475	0.0448869437303	0.076245965895	0.0147282951716
i	0.0513367854936	0.00867096795388	0.00367670268111	0.14543970202	0.333841069673	0.080940664545	0.179008420229	0.086849455825	0.0195849165768	0.078764232965	0.0118871270572
a	0.0315792097312	0.00919233811796	0.0023798241937	0.0909327535733	0.401879303224	0.167645616848	0.117750590076	0.0399171566083	0.0535769161923	0.0669338419883	0.0182124756857
t	0.0365460755771	0.00649813127265	0.0013751393479	0.0377331134244	0.258196024408	0.185500479949	0.222508773359	0.105983103536	0.0625382011308	0.0672473073294	0.0158736472952
è	0.0253771973257	0.00625156652422	0.000852317212633	0.0256631784748	0.174824641469	0.078028162983	0.437995834453	0.163906491179	0.0239382134436	0.0565481737765	0.00661422886507
r	0.00874347524523	0.00525508127474	0.000583857010878	0.0217547684916	0.291650247156	0.070394139661	0.418308244818	0.130573163726	0.0119190694145	0.0372710625922	0.00354690288836
