 	Marika	tu	hai	mangiato	</S>
M	0.88933845	0.0173521135	0.00781313875	0.072877261	0.01261903615
a	0.63275871	0.0278907311667	0.0260849905833	0.098463247	0.214802313383
r	0.302662641	0.313823910389	0.0361137568611	0.07299575	0.274403927794
ì	0.1218372145	0.713663703463	0.031457276287	0.041256993	0.0917848409947
k	0.0435413224333	0.833283887821	0.0378241407623	0.047849593	0.0375010807282
a	0.0194307169111	0.660467342607	0.188349100921	0.104561267667	0.0271915725761
e	0.0196649739704	0.370796197536	0.42688658364	0.125897107889	0.0567551678587
s	0.0174043858901	0.191769309179	0.557098511213	0.174333977963	0.0593938441196
ù	0.0071201515967	0.097871768393	0.645437500404	0.228229432654	0.0213411407732
è	0.0209188909322	0.0508545974643	0.644691196801	0.269607537551	0.0139277524911
f	0.0252771342841	0.0243541337881	0.4128236256	0.52187855585	0.015666574497
e	0.0140120174014	0.035986329896	0.2470037052	0.671962375283	0.0310356041657
</S>	0.0152635497007	0.059324284948	0.2607336326	0.618179022642	0.0464995020829
