 	Valeria	legge	il	giornale	</S>
e	0.99684825	0.0007198541	0.00012104193	0.00072855182	0.001582295775
V	0.991103316667	0.00184123376667	0.000174082616667	0.00312163788667	0.00375970644167
a	0.976591638889	0.00269936972222	0.00212018179889	0.00433879566222	0.0142500161472
l	0.93139362963	0.0332085155407	0.0027422547063	0.0146914859207	0.0179641603824
è	0.896293526543	0.0728885321802	0.00120397330877	0.0203063069736	0.0093076918308
r	0.822898808848	0.117619602727	0.0220748792029	0.0174056663245	0.0200010643136
i	0.518238876283	0.366570434242	0.0388023347343	0.0511277471082	0.0252606071045
a	0.252501765428	0.630362591414	0.0360156445781	0.0589579990361	0.0221619787015
m	0.149529989476	0.734793263805	0.0452267651927	0.041228876012	0.0292210879005
e	0.0698004341587	0.673273277935	0.0464349180642	0.124016523337	0.0864748393002
l	0.0385043477196	0.588194915978	0.0371688756881	0.231753227779	0.104378632433
e	0.0233758532399	0.599425505326	0.0633123142294	0.222805315926	0.0910810201443
t	0.02038680408	0.439521788442	0.109851158076	0.337480231975	0.0927600377148
à	0.0121671128933	0.251985832814	0.236563552692	0.443183683992	0.0560998502383
o	0.00797612236443	0.154829204271	0.237956436897	0.565089261331	0.0341489987461
g	0.00490285008814	0.072042454757	0.099624840299	0.802323053777	0.0211067909154
i	0.00578877446271	0.0433888975857	0.0500314490997	0.884477104592	0.0163137516385
o	0.0085477218209	0.0353456725286	0.0371536810332	0.859126918197	0.0598259858795
r	0.00604025967363	0.0162722518862	0.0292209153777	0.875154812732	0.0733117396265
n	0.00271325922454	0.0087026150054	0.0189455934926	0.935156174244	0.0344823635422
à	0.00173507309151	0.00668576193513	0.0165259958309	0.955170371415	0.0198827889474
l	0.000874363553837	0.00323719116171	0.0084736498103	0.966068773805	0.0213459854158
e	0.0245997639579	0.0350982446372	0.102132354137	0.813401827935	0.0247677951386
</S>	0.0486728969789	0.0683024623186	0.197526247068	0.665865543968	0.0196328465693
