 	vuole	pianto	</S>
e	0.9324911	0.0569166505	0.0105923085
t	0.949556786667	0.0434919508333	0.00695130363333
è	0.965874162222	0.0302414569444	0.00388442412111
l	0.798129900741	0.196458206981	0.00541191365037
i	0.559740246914	0.429618848994	0.0106408920501
k	0.332988551105	0.657797639665	0.0092138028167
l	0.112078137168	0.868339089888	0.0195827947389
a	0.0691148537227	0.900157149963	0.030728049913
m	0.0548876814409	0.903587616654	0.0415247226377
m	0.0287275970136	0.917944402218	0.0533280108792
è	0.176026675338	0.741158297406	0.0828150702931
n	0.216366093179	0.384421324802	0.399212633431
o	0.28937299246	0.237516343934	0.473110711144
</S>	0.46879497623	0.269588306967	0.261616755572
