 	questa	canzone	venne	scritta	quattro	anni	fa	</S>
ì	0.995542585	0.00124998828	0.002468436065	9.50676235e-05	8.6080336e-05	0.0001078092655	0.0001002750615	0.00034970696035
s	0.996364485	0.00182536201333	0.001316035965	5.92089428333e-05	7.0630646e-05	8.35590221667e-05	0.000107464468167	0.00017323482035
o	0.828009061667	0.140492474571	0.012049640055	0.00788778642694	0.00159181649867	0.00610437621072	0.00186137469272	0.00200344583345
t	0.500907553889	0.42096383819	0.044847116685	0.010658230299	0.00268522616622	0.00900781020357	0.00679874459757	0.00413144107782
r	0.24189321663	0.609072296063	0.048065676895	0.037839993923	0.0103800563887	0.0135245442012	0.0353836840325	0.00384049932594
a	0.100268283543	0.760020748688	0.0221679386317	0.0478622159077	0.0125393316962	0.0143436791004	0.0406003330908	0.00219748666198
ù	0.040430994981	0.870803482896	0.0399253678772	0.0182667229359	0.00504379563207	0.00720781240013	0.0152661075436	0.00305573880733
d	0.0160821907603	0.864913427632	0.0834612059591	0.0098163953453	0.00501356471069	0.00600503823338	0.0110852329479	0.00362293650244
i	0.0084377431201	0.640419605877	0.28667228532	0.00932512094843	0.0115881195702	0.0275001015111	0.013131002316	0.00292604093415
ì	0.0061986859067	0.293259439292	0.62576341844	0.0106360698161	0.0121619354234	0.036874451837	0.0105123025387	0.00459372384472
r	0.00374962383557	0.130776402097	0.80664973948	0.0123671779387	0.0138301153745	0.0201948989457	0.0080360946129	0.00439594304824
t	0.00188049349519	0.0811553610323	0.585464046493	0.14108390898	0.0512474617915	0.0676451446486	0.061433085871	0.0100904941161
e	0.00185144921506	0.0462963056774	0.402145995498	0.20205772966	0.0952308152638	0.14561226155	0.0947876202903	0.012017829972
g	0.00203863322835	0.0225002152258	0.415880111833	0.242601066553	0.113628866421	0.12387860185	0.0742380667634	0.00523445285733
r	0.00108481245612	0.00935379427527	0.246576164944	0.520698628851	0.10381963214	0.0551963952833	0.0580436459211	0.00522693288578
a	0.00224899667537	0.0105323382918	0.100135347981	0.47634008295	0.19293097738	0.157631921761	0.0543497106404	0.00583061906193
m	0.00256832863846	0.0104503051639	0.0510782439937	0.45744251765	0.235396059127	0.18982859592	0.0485495745468	0.00468638112064
m	0.00417301139282	0.010897201788	0.0235019469979	0.489063585883	0.232124919709	0.182526273973	0.0519869691823	0.00572608004021
è	0.00512825826427	0.013143233796	0.0145265319993	0.222066747628	0.441099589903	0.240611924658	0.0583828293941	0.00504088988007
n	0.00223467182809	0.00747491446533	0.00885161559977	0.130857388209	0.620165746634	0.190754031553	0.035593790798	0.00406786916002
o	0.00179867831603	0.00523165595511	0.00592530699992	0.0973734077363	0.551108135545	0.201536617184	0.129067124933	0.00795907372001
t	0.00171878906201	0.00393949963837	0.00546674586664	0.0666826992454	0.443852341848	0.281043412395	0.187890451644	0.00940605557334
è	0.00077538183067	0.00181287539946	0.00337645883888	0.0541664411485	0.360427733949	0.447491070798	0.126719643881	0.00523036425778
s	0.000384012048557	0.00121539896649	0.00127610076963	0.0195722745828	0.33615475465	0.539626183599	0.098837912627	0.00293332995259
s	0.000178584773186	0.000828883535497	0.00050339372821	0.00907308679427	0.331032624883	0.552851554533	0.0841154008757	0.0214164477842
e	0.000417521863062	0.00116932172517	0.00262442944107	0.00504313406476	0.194849180961	0.635570384844	0.132364288959	0.0279617251614
r	0.000523596851021	0.00114953381506	0.00362670034702	0.00646842102159	0.120132879654	0.579609578281	0.260637222986	0.0278520596205
u	0.00163162774701	0.00634810934502	0.00196732601567	0.0103538238405	0.110416401885	0.405554359427	0.436276474329	0.0274518790735
c	0.001989127339	0.00809759410167	0.00119726849856	0.00865398064683	0.074170177295	0.262382096476	0.61134885811	0.0321609135578
h	0.000832438976333	0.00341473532056	0.000651357212853	0.00487078994894	0.0481543470983	0.289483508825	0.578344926037	0.0742478961859
r	0.000699528498778	0.00208528228352	0.000479666480951	0.00410418564965	0.0334539570328	0.292626559608	0.539850815346	0.126700000395
ò	0.000599884509593	0.00142894187117	0.00103089098365	0.00382939801655	0.0202554643443	0.192908216536	0.676039571782	0.103907637465
n	0.000293481081198	0.00091783564239	0.00111501295888	0.00212514346552	0.0144850544481	0.188062705512	0.688525423927	0.104475353155
u	0.0062881674284	0.00731468599946	0.00527176528396	0.0194892146152	0.038612621816	0.174185645171	0.638454807976	0.110383058052
a	0.00948502857613	0.0229856073332	0.0224618847613	0.0298119345384	0.0811953586053	0.29713894839	0.486155479325	0.0507657130173
m	0.00457893639204	0.0229688759777	0.0243659004538	0.0218213948461	0.0813877362018	0.38605471613	0.416438583108	0.0423838133391
p	0.00208072409735	0.0103061860592	0.0098719182846	0.015325423282	0.0496494717339	0.398366405377	0.479395717703	0.035004112113
ì	0.00122886864912	0.00576357221973	0.0052607435282	0.009919735094	0.0287640699113	0.338697971792	0.575993782568	0.0343712927043
</S>	0.00090203694956	0.00503343410986	0.0045591925141	0.010953624047	0.0227133244557	0.211992940896	0.696108891284	0.0477366513521
