 	le	canzone	si	scrivono	alla	notte	</S>
a	0.9642042	0.00516969715	0.0015073607	0.0011017989	0.002916441015	0.00933687705	0.0157636852
t	0.7251141	0.08653505615	0.00469060183333	0.00255206493333	0.00469415167167	0.0157659360167	0.160648131733
r	0.380039193333	0.352389528717	0.0236434522778	0.00418977464444	0.0120947305572	0.0270232143389	0.200620056778
a	0.291174647778	0.547180542906	0.0361465654259	0.00466096701481	0.0210519405191	0.0298937057796	0.0698915897927
ù	0.218982453926	0.613190164302	0.0358871124753	0.0057915401716	0.0241133885064	0.0392784319265	0.0627569379309
d	0.084035847642	0.707291858101	0.0845078624918	0.00605985089053	0.0176185083355	0.0406520736422	0.0598340269436
i	0.0408485195473	0.6423336927	0.225045667497	0.0405929676302	0.00906797144517	0.0208600138807	0.0212511662812
a	0.0307153895158	0.397727517567	0.251843472499	0.0689260852101	0.0658339949817	0.0472931076269	0.13766043176
g	0.0520828175053	0.235559705856	0.273220274166	0.0808994477367	0.0928390466606	0.0758666225423	0.189532049587
r	0.0581383191684	0.182292040619	0.441211168055	0.128826529246	0.0484089905535	0.0632837775141	0.077839107029
à	0.0284201274228	0.10436080054	0.367588202685	0.396521076415	0.0317295578512	0.044511335838	0.0268688272297
f	0.0101573442876	0.04022133018	0.171126864228	0.602024642138	0.0727776936171	0.090452311946	0.0132397507966
u	0.00623450004253	0.0188729107267	0.101163048076	0.638791947379	0.0934010558724	0.124868040649	0.0166684559322
t	0.00547224751418	0.0102707957756	0.052900195692	0.53688718246	0.193672016624	0.185817890216	0.0149796686441
t	0.00286808630473	0.0043257392252	0.021961282564	0.260129600153	0.315657968875	0.383222806739	0.011834556548
e	0.00637563756824	0.0146314348417	0.036265715188	0.222700172718	0.239430586292	0.46451189558	0.0160845761827
t	0.00721530011608	0.0177236967606	0.0394967604793	0.194345264806	0.166025905431	0.560236505193	0.0149565570609
s	0.00265024201536	0.00609401156687	0.0137282889431	0.066696434302	0.150356975144	0.741068268398	0.0194057843536
e	0.00293185852179	0.0147297873556	0.034942991681	0.105962220234	0.124063375048	0.691553862799	0.0258159204512
n	0.00282467115793	0.0174760694695	0.0416067314403	0.118020986278	0.0888360736827	0.705860814266	0.0253746601504
ì	0.00122707291664	0.0068476605075	0.0191860303601	0.0438858202927	0.0478924238942	0.861511324755	0.0194496852501
t	0.000698681547547	0.00340438311583	0.0119154723034	0.0193472997309	0.0251213386314	0.929045658252	0.0104671961834
t	0.000449643997849	0.00262253231861	0.0117598009511	0.016849218877	0.0336992662105	0.857968469417	0.0766511022945
a	0.00231537945262	0.0110641917729	0.0531714826504	0.155895300959	0.0701904634035	0.587502559806	0.119860647431
</S>	0.00410116802631	0.0187538068865	0.0891363513252	0.28812528048	0.0906967837017	0.414709084903	0.0944775287155
