 	ho	messo	uno	specchio	sul	muro	</S>
è	0.606082215	0.3887166025	0.000217601885	0.00342748365	0.00016342571	0.00034661604	0.0010459765
v	0.558331581667	0.432635274167	0.000369374901667	0.00357792901667	0.000158666443333	0.00193307675	0.0029940678
a	0.516915537222	0.427666231389	0.0185270421006	0.00755881753889	0.0146320123178	0.00935798405	0.00534235676667
l	0.224672659407	0.698505743796	0.0245861617335	0.0109221603463	0.0195147938726	0.01706394135	0.00473449345556
a	0.108547603469	0.799456114599	0.0276155362778	0.0197270922821	0.0177556070575	0.0196561427833	0.00724189718519
è	0.0712991954897	0.8088379582	0.0319639420926	0.0353278474274	0.0192634304858	0.0183716185944	0.0149360817284
n	0.0294963774966	0.7676609394	0.0895029406975	0.0547247924758	0.0118180429619	0.0287932405315	0.0180037572428
a	0.0450512804989	0.480118318467	0.142845551899	0.151935887492	0.0691680829873	0.0896786268438	0.0212022927476
n	0.0489051811663	0.194147297156	0.087807867133	0.397938732497	0.0920326893291	0.161391705615	0.0177765048492
j	0.0195670112888	0.0778228388187	0.197059277211	0.376571375832	0.139871611443	0.155765425205	0.0333424258831
a	0.0219900926629	0.0307517788729	0.255660205737	0.302697203611	0.233013243814	0.114152521735	0.041734930961
l	0.0210590967043	0.014518969291	0.110165799746	0.506251001204	0.196139181271	0.133459730578	0.018406215287
ì	0.0078432529181	0.00558819756367	0.044760330082	0.488706983735	0.304868120424	0.140768643526	0.00746449166233
s	0.0035524319727	0.00273429988789	0.0257838793607	0.304585734578	0.536662073475	0.115508994509	0.0111726068208
t	0.00162110460757	0.00139451993596	0.0167052527869	0.166388892526	0.646363367825	0.139391501503	0.0281353746069
o	0.00525237001919	0.00404909355199	0.0458491482623	0.081886836842	0.550076065942	0.281309557168	0.0315769265356
t	0.00648962012306	0.00527819701733	0.0506570987208	0.0892414939473	0.343570688647	0.478627542389	0.0261353455119
ì	0.00284558519102	0.00254787293911	0.0188765435403	0.0780837686491	0.236747246216	0.641561470796	0.0193375203373
c	0.00161838781701	0.00155408594637	0.0082582064701	0.0310210052164	0.211345375405	0.731626090265	0.0145768659458
h	0.000823611769003	0.00108687318212	0.00370840668003	0.0146149655721	0.207303505135	0.747554720088	0.0249079376486
o	0.00534806036633	0.0127944897274	0.0580677907933	0.0359586073574	0.233952151712	0.629196430029	0.0246825073829
</S>	0.0100919101832	0.0246843198637	0.112941075397	0.0632221036787	0.269023395856	0.501853365015	0.0181838709414
