 	vuole	andare	a	Lecce	</S>
i	0.9733676	0.00332717445	0.00256020525	0.0145180664	0.0062269785
t	0.965158716667	0.00339033411667	0.00195891898333	0.0229153350667	0.00657667193333
è	0.957232938889	0.00873202973889	0.00313175282778	0.0267259102556	0.00417736953111
l	0.879005606296	0.0748669042463	0.0208285163759	0.0151517229852	0.0101472856304
i	0.538835222765	0.251664241415	0.126654992125	0.0703367133284	0.0125088778101
n	0.190024457188	0.417498463805	0.289909474042	0.0968940401095	0.00567360087003
a	0.0696945596627	0.411385764602	0.362705951347	0.148608209036	0.00760555295668
p	0.0285947251209	0.273498763534	0.497725677116	0.192418613012	0.00776226988556
à	0.010861229607	0.207243129845	0.617768312372	0.159931997671	0.00419537709519
i	0.007117503669	0.153539934615	0.405912357791	0.429732999224	0.00369726493173
L	0.00558153015633	0.068775716205	0.232715769597	0.643717183075	0.0492098593106
u	0.00833209118544	0.041841153735	0.189062169866	0.693519197692	0.0672454464369
p	0.00858861681848	0.021395199645	0.0911310112887	0.846219465897	0.0326657521456
p	0.00359514289616	0.0125419469483	0.0669639284296	0.884689245299	0.0322097527152
ì	0.00210487623205	0.00893399174943	0.0513486544765	0.907800258433	0.0298122159051
u	0.012320258144	0.0102435290165	0.0365936348255	0.926112939478	0.0147296233017
n	0.0154836038147	0.0111431677388	0.0341429381085	0.715610209826	0.223620076101
a	0.0132176880382	0.0177032113129	0.0799758042028	0.590356756609	0.298746523367
</S>	0.0185504725191	0.0281799856564	0.136992507101	0.657481843304	0.158795158684
