 	non	aveva	cosa	a	fare	</S>
e	0.45088765775	0.04503274585	0.00070887659	0.00349493255	0.1000775285	0.399798202
n	0.151635787283	0.324860419183	0.00084228693	0.00611694595	0.1129214135	0.403623143
ì	0.0533048246277	0.689491126394	0.00489948977667	0.01293018765	0.0716168135	0.167757573333
c	0.0207985050092	0.794154715465	0.0114264019256	0.0188345898833	0.0502152275	0.104570582444
h	0.0093057925364	0.600357891822	0.179838646642	0.0257045802944	0.1056557005	0.079137417148
e	0.00747794324547	0.260383322941	0.339392535547	0.180434101765	0.145301350167	0.067010740716
t	0.0118229814152	0.109458737314	0.340763705182	0.278143523922	0.189403470056	0.0704075602387
i	0.0216007771384	0.0734672511047	0.243273210061	0.354245497974	0.201633600019	0.105779636746
k	0.0192645155795	0.0561014663682	0.0968623870203	0.368691239325	0.35441098334	0.104669401249
à	0.00783431159317	0.0239744904561	0.0409485166734	0.429203486442	0.442127531113	0.0559116787497
m	0.00387726059772	0.0121237598187	0.0245204815578	0.511936128814	0.420335713704	0.0272066722499
i	0.0761916283992	0.10892401594	0.0819171275193	0.347756279605	0.368327187901	0.0168837744166
</S>	0.1499982842	0.21115948797	0.14096515876	0.274672744802	0.211059368951	0.0121449627083
