 	prima	di	andare	alla	scuola	</S>
p	0.9678759	0.0080281851	0.00712633409	0.0016145349	0.0051639125	0.0101911638
r	0.955162153333	0.0152428310333	0.00797153936333	0.0040606399	0.00732372316667	0.0102391450333
ì	0.860579017778	0.100265418678	0.0127327041211	0.00803882963333	0.0146466287222	0.0037374602111
m	0.524008288593	0.337578639559	0.0341437300404	0.0243053335444	0.0660359915741	0.0139280461704
a	0.263269195531	0.354679861853	0.118881784347	0.0523312661815	0.185130797191	0.0257070807235
n	0.162861964577	0.347716069284	0.215368734782	0.0548672520605	0.200951044397	0.0182349274412
a	0.173948944259	0.330435874761	0.243369564927	0.0622777360202	0.171271153466	0.0186967010137
p	0.177919172653	0.128330072254	0.418767508309	0.0884965886734	0.167921164489	0.0185654595379
à	0.0641940827843	0.0529566140847	0.61765131277	0.114176647558	0.142719238163	0.00830211231263
i	0.109465181595	0.0231587383616	0.473103110923	0.101963893519	0.268384909388	0.0239241760375
s	0.122900572398	0.0125484026872	0.290536213641	0.24230353884	0.302151773129	0.0295594596792
t	0.0468342529993	0.0152207871291	0.20290286888	0.322047972947	0.39937822771	0.0136158600264
i	0.0751205679998	0.0225982293764	0.09022733896	0.163761514316	0.639365375903	0.00892699894213
s	0.0810086526999	0.0204567191255	0.0436419339867	0.120525104772	0.723242375301	0.0111252494474
k	0.0318096722666	0.0457413477085	0.0364753683289	0.147703804924	0.716507861767	0.0217619618158
ò	0.0160911662889	0.0501256433362	0.0262590668096	0.103046157241	0.783868740589	0.0206092341386
l	0.00649882212963	0.0171724726554	0.00962041433653	0.0414992740137	0.90403663353	0.0211723569129
a	0.122716859877	0.0179946883285	0.0333230421455	0.0489908973379	0.75160331451	0.0253711396376
</S>	0.242065304938	0.0273460491642	0.0613964535727	0.070308758669	0.578304132255	0.0205792478188
