 	non	mi	aspetti	non	vengo	</S>
m	0.400177995	0.44917993	0.08244423725	0.021032634675	0.02729188855	0.01987324705
ì	0.181319485667	0.665448723333	0.0838923244167	0.0210115219783	0.0286947231833	0.0196331861267
m	0.0776848145557	0.709414367778	0.142013790139	0.0206650620794	0.0395950550611	0.0106269311522
e	0.0723436718519	0.548481565926	0.196043755046	0.0325086543598	0.127336933354	0.0232854290507
m	0.0651153519506	0.340199124309	0.296639090015	0.11190290412	0.157072017785	0.0290714683502
ì	0.0335854183169	0.146353827103	0.331853543338	0.213644041373	0.255334195928	0.0192289451167
n	0.020370697439	0.0788514058677	0.214301687779	0.338165347124	0.326402898643	0.0219079687056
i	0.0208550904797	0.0643508654559	0.141815883926	0.302646557375	0.445867176214	0.0244644192352
e	0.0494888214932	0.078452085152	0.065473301642	0.210864604125	0.502101288738	0.0936198527451
n	0.0527452006311	0.050316615384	0.0360754228807	0.194339798042	0.549248499579	0.117274410248
è	0.0246317153437	0.027237922128	0.0147417762936	0.092137520014	0.794349916526	0.0469010858827
r	0.0140053621479	0.0176268957027	0.0070053703212	0.0375183595047	0.901622252175	0.0222217077609
k	0.0346451427493	0.0109993852276	0.0188871629971	0.0785335286682	0.830545947392	0.0263888052536
o	0.0569214509164	0.0355959134092	0.0310229306657	0.100506729556	0.747268432464	0.0286845254179
m	0.0434981299721	0.0399281738031	0.0355168198886	0.0950299831853	0.757318294155	0.028708576806
e	0.0922981829907	0.062865640601	0.0417353689629	0.106253437728	0.672343504718	0.0245038624353
</S>	0.149659986495	0.1040550803	0.0403926479814	0.091004003864	0.599986887359	0.0149014144677
