 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
M	0.87706458	0.0553723735	0.01517341475	0.00191617955	0.00339540334	0.0014026475	0.0024241733	0.0331947908	0.010056464
a	0.574682127	0.0463747568333	0.0266195775833	0.00615618075	0.0569966603133	0.0167050343	0.008674743	0.0381380932667	0.225652843667
r	0.250154762667	0.298021044611	0.0304742865278	0.00737690448333	0.0726695183844	0.0211325601967	0.00941825413333	0.0183024907222	0.292450200789
ì	0.135374521056	0.70221646487	0.0193353081759	0.00370622529444	0.0244337934748	0.00735405656223	0.00325979167111	0.00645983778873	0.0978600841097
s	0.0540606215187	0.87834493829	0.015376350392	0.00283297813148	0.00925451165827	0.00342926125408	0.00138251111704	0.00238745567758	0.0329314320032
a	0.0262992751729	0.80670627943	0.082169356464	0.0399290841772	0.0108994313194	0.0137167310847	0.00372613010568	0.00187125815919	0.0146824736877
e	0.0246514507243	0.478010249143	0.391082718821	0.0556335883924	0.0140981734398	0.0169800666282	0.00482485986856	0.00284580815306	0.0118730932292
N	0.0259386182414	0.179052444048	0.719964539607	0.0461765097975	0.0083319934366	0.00724943204273	0.00269518795619	0.00289801588435	0.00769321095973
ì	0.0114629485138	0.089287013016	0.767283293202	0.104775189932	0.0098265281022	0.00962470424758	0.00270205381873	0.00198571096145	0.00305250663658
c	0.00430201767127	0.066362622672	0.718887777734	0.167696753311	0.0230740077007	0.0128721187492	0.00330672460624	0.00183676488715	0.00166121754553
h	0.00171715376042	0.038568240724	0.513249717578	0.152439291104	0.2001953159	0.0409698269164	0.0269463572021	0.0242866136957	0.00162749254851
o	0.000689291143473	0.0226727660747	0.234121352526	0.279778027035	0.258181111967	0.110871858972	0.0575303024007	0.0346217105652	0.00153356928284
e	0.0122959524678	0.0503337563582	0.150464132509	0.423790172345	0.118782160656	0.128821519657	0.0624447508002	0.0271139395217	0.0259536317276
e	0.0495818378226	0.0663787094527	0.128651620836	0.328132774115	0.0834396552187	0.109025423219	0.0704577969334	0.0432287598406	0.121103443909
e	0.0756555912742	0.0437830011509	0.0904556502787	0.196426416705	0.0880019800729	0.145100381073	0.0855291256445	0.0626121966135	0.21243566797
n	0.0738958170914	0.0431836010503	0.0635798014262	0.213267944235	0.0724841153576	0.219161117024	0.0756512418815	0.0745406722045	0.16423568299
è	0.0501416098971	0.0393544016834	0.0511314818087	0.271162158078	0.0328725274525	0.324939939008	0.0936101106272	0.0672148174015	0.06957293133
c	0.019547492599	0.0173798437945	0.0357095472696	0.243960696026	0.0271881284842	0.455931693003	0.118946673542	0.0505142458005	0.03082164991
h	0.00693889211967	0.0061841077415	0.0161274179899	0.161519484675	0.0869756718281	0.498907924334	0.136274261181	0.0691376619335	0.0179345361033
u	0.00246852301989	0.00289704242383	0.0069833535633	0.0680844405583	0.0967815366094	0.432788164778	0.27765712706	0.0993976206445	0.0129421517678
n	0.0018408082333	0.00208100987461	0.00387652075443	0.0282933399528	0.0540475455365	0.438057014926	0.31532258902	0.141936723548	0.0145444023226
f	0.0015465414911	0.00206995742487	0.00196923158481	0.0123808600843	0.0529957425122	0.512511854975	0.224932123007	0.150417147849	0.0411765144409
a	0.000660538730367	0.00317730147496	0.00243488379494	0.0104042610281	0.0424198358374	0.419516101658	0.349152687669	0.12755830595	0.0446761128136
m	0.000522225896789	0.00417388469165	0.00246260667831	0.00892302540937	0.0611997102791	0.314423650553	0.41369511589	0.16040065865	0.0341991662712
è	0.00048405520893	0.00320485046388	0.00150492387277	0.00418625250312	0.059284875093	0.242604716851	0.480018971963	0.18155504955	0.0271563310571
n	0.000286642730977	0.00133939132796	0.00120990299092	0.00241469056771	0.0205763458643	0.16925113895	0.615756837321	0.177167366517	0.0119977097524
a	0.00141281016166	0.00289781084932	0.00593895296364	0.0129889332892	0.0156161687881	0.15845095965	0.547420229107	0.244417998839	0.0108561746841
m	0.00182637060722	0.00392333624977	0.00742337482121	0.0165289608964	0.040883420596	0.106301812217	0.448052303036	0.348240259613	0.0268201885614
a	0.00204881168907	0.00623266778326	0.0068019394404	0.0130746690988	0.042914918432	0.074668099739	0.356871637679	0.469062039871	0.0283252366205
i	0.0181264172297	0.0139826165944	0.0159635088135	0.0360360020329	0.035628131044	0.11254382658	0.266513535893	0.483159246624	0.0180467499735
</S>	0.0331501036149	0.0183088007972	0.0222277479068	0.0547978910165	0.047200000522	0.15317877829	0.234585512946	0.415640373312	0.0209108284868
