 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
n	0.959765925	0.001809494165	0.0055767118	0.00203775625	0.00052922806	0.002381652365	0.0018530417	0.001726807175	0.00062210243	0.00308895613	0.02060831505
d	0.880692975	0.003535780255	0.0395142006	0.00971998225	0.00092369312	0.00955639812167	0.00828820176667	0.00871610239167	0.00416789794333	0.0121322432433	0.0227525090167
ì	0.582187458333	0.0498216954183	0.202004236867	0.0377929624167	0.00403897010667	0.0395178267072	0.0250879805889	0.0290320524639	0.00582088238111	0.0145166859811	0.0101792003389
s	0.258042496111	0.289232828473	0.251434642289	0.0421280518056	0.00835242803556	0.0507219089024	0.0311337855296	0.0460864931546	0.0073351471937	0.00766556856037	0.00786658011297
o	0.121350786704	0.412840519491	0.188334854096	0.134586768269	0.0115495646785	0.0413533096341	0.0217390055099	0.0477713987182	0.00790862116457	0.00493522202012	0.00762989793766
n	0.0515629379013	0.29025565983	0.354684428032	0.164372359756	0.00924375669283	0.0432682965447	0.0238864315033	0.0484217369061	0.00691074582152	0.00332329084004	0.00407036894589
t	0.0201154100338	0.464056179943	0.350313558011	0.061046322252	0.00544762393094	0.0296714030482	0.0214969087678	0.0358462214354	0.00663591890717	0.00309745694668	0.00227300466196
a	0.0117301134113	0.622824503314	0.264185651337	0.0414933727507	0.00713198187698	0.0171609818827	0.0110554075226	0.0175506039451	0.00339118944906	0.00249558198223	0.00098058615732
o	0.0132640148038	0.410646881105	0.443719667112	0.0569321509169	0.0275896766257	0.0143422269609	0.00817747870753	0.0104517707817	0.00197077216302	0.00451889866074	0.00838643004244
n	0.0101109075013	0.178976766702	0.658144755704	0.0648076023056	0.0317910150086	0.0152130986536	0.0138218014358	0.00749562472723	0.00259899665434	0.00557363988691	0.0114657624475
a	0.00794069373377	0.071148069234	0.738655105235	0.108790992769	0.0171998084695	0.0197242728845	0.0154761083119	0.00714600090908	0.00229633787478	0.00315814282897	0.00846444924917
d	0.00718866694459	0.0343617013113	0.719044621745	0.13676082759	0.0149112688232	0.0370099209615	0.028866242604	0.00925193230303	0.00278509451493	0.00221878157632	0.00760092874972
e	0.0044192904482	0.0148842191371	0.720931760582	0.12719942253	0.0166756149411	0.0540700136538	0.0347841662013	0.0117042347677	0.00299432633831	0.00189041429211	0.0104465459166
r	0.00357482901607	0.0078481226457	0.621893640194	0.153427314177	0.0199135143137	0.0938648178846	0.0664572420671	0.0156492139226	0.00422855461277	0.0017313840307	0.0114113811722
f	0.00215135413869	0.00707173701523	0.544503113398	0.211338304726	0.0279243474379	0.0997645869615	0.0781964443557	0.0164432039742	0.00588757197092	0.0018227245769	0.00489663447407
ò	0.0011047437929	0.00801576943841	0.390992805799	0.374808934909	0.123438272479	0.0527007799872	0.0318762292186	0.00976641655807	0.00373297675697	0.00166229435897	0.00190081106669
m	0.000499358637633	0.00497921104614	0.2186840366	0.47704308497	0.231688770826	0.0378984886624	0.0137401769395	0.00543595995269	0.00225935218566	0.00652207131966	0.00124952024756
m	0.000185236603544	0.00270839488205	0.1708446022	0.503913548323	0.249245620275	0.0351620638875	0.0078873226465	0.00511076551756	0.00606114299522	0.0159903694399	0.00289097661585
u	0.000701448665515	0.00305511402735	0.0835460957333	0.413961739441	0.354163523425	0.0787743902958	0.0176002587822	0.0121520578392	0.0137068129984	0.01929039348	0.00304820017195
o	0.00250828915517	0.00412003234245	0.0458953525778	0.244961649814	0.349608774475	0.240883220099	0.0548100135941	0.0199818949464	0.0138739881661	0.0159899354933	0.00736686035732
n	0.00266983759839	0.00285365517415	0.0324767624259	0.148813762938	0.163330782825	0.4061384667	0.190589591198	0.0233858286488	0.0105206015554	0.0102605526978	0.00896016831911
ì	0.0011173301128	0.00111635959805	0.0196935237086	0.0638598413127	0.068270441275	0.559849795567	0.234241240399	0.0338899482163	0.0089610413518	0.00530804659927	0.00369239250637
c	0.000420240850267	0.00050031395935	0.0160003955695	0.0541692144376	0.066386369425	0.610624631856	0.193136043466	0.0434468434054	0.00971741828393	0.00386341636642	0.00173505033546
h	0.000159889354422	0.00043673358645	0.0116594418565	0.0753947881459	0.153707313142	0.502478340619	0.163152397822	0.0395075488018	0.021435347428	0.0242668134555	0.00780133274515
a	0.000354269023141	0.00135291051548	0.0085331952855	0.0763144840486	0.159884709381	0.431747230206	0.172717629274	0.0588656572673	0.042260102476	0.0381249031518	0.00984486701505
