 	se	si	era	vestito	il	mio	fratello	l'	avessi	portato	con	me	</S>
a	0.41494444	0.16980003	0.060721469	0.0040151102	0.00105182795	0.0037668181	0.00510870065	0.00116807203	0.0041509813	0.00459068875	0.0054227506	0.0492299055	0.2760292379
n	0.177206416867	0.151476396667	0.321824384333	0.00312990096667	0.000581321033333	0.0021636129	0.00209091561667	0.00075130193	0.0038523993	0.00449822185	0.00612849253333	0.0497649141667	0.276531740967
ì	0.0608890908223	0.259559622222	0.540442361444	0.00418686075556	0.00123235119444	0.00171768546667	0.00249023583889	0.00116615974333	0.00334928299	0.00360928449667	0.00396942727778	0.0222620693889	0.0951255923223
c	0.0226110408741	0.390881540741	0.524457233815	0.00667407225185	0.00154542164148	0.00105312382889	0.0024736436763	0.00111546601444	0.00191588528667	0.00197661027889	0.00174417127926	0.0102670184763	0.0332847847408
h	0.011456334558	0.401317830247	0.467780191272	0.0460334097506	0.0169597665572	0.00280804084963	0.00607338645543	0.0119986024381	0.00186421676222	0.0018690734263	0.00249105174642	0.0177902025054	0.0115579346136
e	0.0107981105193	0.297671541416	0.408929523757	0.16572838325	0.0353279338524	0.00889207871654	0.0161195669851	0.0187177568127	0.00448943042074	0.00339506480877	0.00439897331547	0.0213467769685	0.0041848927512
n	0.0133351481731	0.117791697305	0.540091687919	0.207622484417	0.0336129006175	0.0119379567388	0.015430769095	0.0130044642709	0.0117096794736	0.0134679292696	0.00945217093849	0.0104193136562	0.00212377996373
d	0.0391095670577	0.0435909174017	0.436057000973	0.199615871472	0.157989196206	0.0124084407463	0.0125321207983	0.0430425530903	0.0132557564912	0.0167206159565	0.0114610649795	0.0113134227521	0.00290348188791
i	0.0636976806859	0.0337215776006	0.170536700658	0.300418587157	0.268986252069	0.0242662869154	0.0352350379328	0.0570968986968	0.0135194598304	0.0121184173522	0.00685072799317	0.0106862737174	0.0028661535293
s	0.0496198312286	0.0300599427335	0.127280762219	0.347988732386	0.185591126356	0.0499918966385	0.0388404960443	0.0282041353656	0.0521249939435	0.0571811966174	0.0221097713311	0.0087945527058	0.0022126097431
ò	0.0244484935762	0.0125765401112	0.10578573384	0.262590684129	0.336781341119	0.0568604598795	0.0210403220814	0.0161022512552	0.0596750965478	0.0688169935391	0.0265735842104	0.0071016913686	0.00164680655937
n	0.00982837295873	0.00568993983707	0.0410884210467	0.16365001971	0.614025393706	0.0550083476265	0.0206855170271	0.0198056727517	0.0244336410826	0.0274613851797	0.0103652694368	0.00544949458953	0.00250850376479
t	0.00653457725291	0.00285804551236	0.0176643735822	0.09515384657	0.650441461235	0.0598348678755	0.054144990009	0.0494450019172	0.0119493450275	0.0127854161599	0.00588821871227	0.0243543028632	0.0089455615216
a	0.0064910030843	0.00327627973745	0.0067972768274	0.0464999765233	0.624143203745	0.0780191512918	0.107233011336	0.0720460973057	0.0065702441425	0.00593519641997	0.00492350937076	0.0288143564544	0.0092507137172
o	0.0492194900281	0.0150264000458	0.00846035500913	0.0228263315078	0.467473584582	0.134090160431	0.156295353779	0.0951103291019	0.00881492268083	0.00523485373999	0.00511798029025	0.0185556089848	0.0137746584491
a	0.0696116450094	0.0204870756819	0.0119201403364	0.00941298786927	0.217111092861	0.19871799681	0.266881177926	0.113212099701	0.0144939623936	0.00668859024666	0.00745006809675	0.0252473346616	0.038765838483
d	0.0502441293365	0.011502907894	0.0107362817788	0.00369988333642	0.0864462209537	0.352448965603	0.248875224975	0.075637582567	0.0614745507979	0.0310069667489	0.00873415153225	0.0219532342205	0.0372398928277
e	0.0366834679455	0.010215474298	0.0146894245929	0.00199393755881	0.0365882025512	0.519063338534	0.152663690658	0.0347777138557	0.110333396933	0.0446213352496	0.00721887184408	0.0123857534068	0.0187653936092
