 	vogliono	girate	</S>
t	0.91227583	0.07261447	0.0151097335
è	0.94981983	0.037985661	0.0121945341133
l	0.925817333333	0.056531828	0.0176508683178
u	0.891241677778	0.083111836	0.0256465394393
n	0.672839985926	0.269358645333	0.0578014404798
e	0.590131545309	0.320332086111	0.0895364168266
v	0.54336440177	0.276080519704	0.180555068942
o	0.33061293059	0.410681806568	0.258705236314
t	0.32650116353	0.333129716856	0.340369108771
i	0.264007777843	0.369071786952	0.366920436257
m	0.130097864948	0.640616142317	0.229286012086
m	0.0833061706493	0.806487594106	0.110206256829
è	0.145864556883	0.760255898035	0.093879581743
n	0.135039986294	0.735030052678	0.129930010581
e	0.204816279431	0.621193457559	0.17399029686
</S>	0.336318879716	0.44466850878	0.21901262843
