 	che	non	li	aspettiamo	</S>
n	0.9720445	0.0030824909	0.003112727	0.0042304003	0.0175299271
a	0.768414653333	0.0299936297667	0.103981445667	0.0692068684333	0.0284034187
m	0.446194554444	0.0603700919222	0.235621258556	0.161612196144	0.0962019139
i	0.219132791481	0.0444322725407	0.263223802852	0.308996448715	0.164214677967
t	0.313468953827	0.0244732714136	0.237936180951	0.293976561572	0.130145013322
u	0.338812456942	0.0195795934712	0.28049348365	0.279344299191	0.081770135774
s	0.297704291314	0.0145995054904	0.30651990455	0.29550956973	0.085666699258
m	0.316557563771	0.0321723371635	0.222252128183	0.354674583243	0.0743433664193
ì	0.151129446924	0.0368100483878	0.225002469394	0.529294581081	0.0577634388064
n	0.0611520449413	0.0185370245959	0.305091349798	0.567806647027	0.0474129303688
o	0.0717863486138	0.127075522665	0.247580413266	0.517933635676	0.0356240815563
m	0.0751335323046	0.162005890522	0.109543419755	0.612859165225	0.0404580155188
e	0.283559976868	0.100804919807	0.0467661312517	0.543327838408	0.0255411496063
</S>	0.529388158434	0.119076589904	0.0343045996259	0.303407344204	0.0138232999531
