 	non	so	cosa	scrive	</S>
e	0.4547361298	0.49281448	0.00173770555	0.00399032515	0.0467213645
n	0.159624305467	0.749781113333	0.00247319138333	0.0380459196833	0.0500754961667
e	0.0774166051557	0.610809194444	0.0404073685944	0.201542256561	0.0698245813889
t	0.0558122660519	0.492760701481	0.0563941305315	0.307602888854	0.087429976463
s	0.060112728684	0.392064890494	0.0762758891772	0.403532762951	0.0680136901543
è	0.0569324968947	0.150332656098	0.239216586392	0.510469234317	0.0430490053848
r	0.0259797387649	0.0547515062993	0.549439705464	0.349685392439	0.0201436937949
o	0.0203850053883	0.0219799817664	0.520504895155	0.417185135146	0.019945012265
t	0.0195895237961	0.0183719445888	0.244822585052	0.696336168382	0.0208797689217
i	0.0233046615987	0.0173252868296	0.132413394017	0.807597439461	0.0193591841406
g	0.0240872837329	0.00928697290987	0.0526930821723	0.896242796487	0.0176898317135
r	0.0111372333443	0.00763302630329	0.0281971572241	0.925059998829	0.0279725555712
à	0.00691798648143	0.0045898867011	0.026009164408	0.928971432943	0.0335115208571
f	0.00343879742714	0.00248809110037	0.017102716936	0.948867644314	0.028102782619
i	0.0404651262757	0.00946055863346	0.112521693779	0.808505881438	0.0290467565397
</S>	0.0789716981379	0.0169101343167	0.21356647689	0.662972440719	0.0275792567698
