 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
f	0.9799719	0.010317838	0.00061301788	0.0023669983	0.0003238317	0.000811624395	0.0008411124	0.00475368245
è	0.98518158	0.00665352066667	0.00059073986	0.00135221091667	0.000232162265	0.000807627715	0.00081047644	0.00437166215433
o	0.939234796667	0.0223875705556	0.00522608355333	0.00122547345556	0.00356801976667	0.0121462747383	0.00375435408667	0.0124573983891
p	0.597857592556	0.346689306852	0.00715268185111	0.00479722085185	0.00473788412222	0.0159473266794	0.00661293769556	0.0162050393964
p	0.244379337852	0.497386935617	0.14847745795	0.010747938284	0.0118566849074	0.0424985573265	0.0363088948985	0.00834417173213
ò	0.137200695284	0.439414458539	0.28180848265	0.0128783392613	0.0196752573025	0.0564242344422	0.0478241689662	0.00477436817071
r	0.0662330697613	0.580165609513	0.232248804217	0.0114116599204	0.0188197304342	0.0397661334807	0.0447434553221	0.00661155098357
k	0.0272407089204	0.488373953171	0.218545398072	0.00935342764013	0.0373141814781	0.0839225478269	0.0953446884407	0.0399051009945
e	0.0146516286401	0.28183716439	0.353930639357	0.02409521988	0.0688121154927	0.110909237942	0.0993602844802	0.0464037030848
t	0.00960397448003	0.180841054797	0.463070329786	0.0785393632933	0.0689512394976	0.069890434314	0.112438486493	0.0166650883149
e	0.00868516992668	0.105555503932	0.518905836595	0.127951907764	0.0677876808325	0.0476600817713	0.110450649498	0.0130031549716
e	0.0114371364756	0.0454667809773	0.558103505532	0.186981642588	0.0788727569442	0.0480621045904	0.0460510694993	0.0250249926572
t	0.00803116625853	0.0216004831591	0.481000968511	0.321146774196	0.0807416369814	0.0357731421968	0.0290035704998	0.0227022698524
r	0.00385699801951	0.00843934730303	0.532813372837	0.296788781399	0.0859956303271	0.0341083157323	0.0300821714999	0.0079154197708
ò	0.00221408681984	0.00334933885101	0.454725234279	0.225305207133	0.227809596776	0.0583861412441	0.0254306221666	0.00277977955027
o	0.00184514058661	0.009994497617	0.180287215093	0.430636652378	0.303403678925	0.053786510748	0.0178891483889	0.00215714299009
p	0.00185497499554	0.012158855939	0.084680694031	0.520701820793	0.222480529642	0.140443682249	0.015463139463	0.00221627851003
ò	0.00124190873185	0.004801172013	0.0509347714437	0.377486986931	0.315228433214	0.231743517416	0.0173059091543	0.00125731083334
s	0.00072448876395	0.00203753824233	0.0199670222479	0.229201535644	0.430141944405	0.289091145805	0.0268318307181	0.00200453979445
s	0.000380850337983	0.000756921018777	0.0097243357493	0.107149212548	0.481920034802	0.317629055268	0.045958402906	0.0364812065981
a	0.00112814704266	0.00583625067293	0.00704323774977	0.0622073328493	0.475154731601	0.290425041756	0.108052280969	0.0501529945327
t	0.00138223639422	0.00763731205764	0.00531612408326	0.0481108512831	0.3169119572	0.412472313919	0.18093433699	0.0272348865109
è	0.00094805344474	0.00282402470255	0.00315764776109	0.0282593444277	0.157918569067	0.414337457973	0.37564810233	0.0169067903703
l	0.000831382328247	0.00110728364085	0.00201889482036	0.0157466111426	0.118714643022	0.384066272658	0.465165447443	0.0123494579901
o	0.00776747558942	0.00509912043695	0.0123900244401	0.0174116907142	0.120060074341	0.332169370886	0.491708405814	0.0133938349967
</S>	0.0149564832947	0.00958733521847	0.02334470222	0.0215176738571	0.106683952171	0.210308855443	0.601776187907	0.0118247994984
