 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.2498578495	0.0987032925	0.1063231962	0.1985310244	0.184451403	0.1621332346
a20	0.3385133015	0.1175514185	0.086301775	0.189629197033	0.148410877733	0.119593423667
a31	0.4244049425	0.136276092933	0.0763771334667	0.153014524511	0.117663954378	0.092263349689
a28	0.488104202167	0.124184171811	0.0747341194222	0.128459917904	0.102589145526	0.0819284388963
a31	0.514497292722	0.116755299737	0.0729788761074	0.119488317635	0.0989320335087	0.0773481696321
a13	0.534496171574	0.105551197646	0.0664796637358	0.107648042812	0.0986389139696	0.087185994344
a18	0.501326512525	0.088767763482	0.0676394277786	0.0995972514507	0.115546476523	0.127122556981
a31	0.428348905508	0.102009584694	0.0767000091262	0.104544970464	0.145635690574	0.14276083626
a27	0.369016272503	0.119528716831	0.0893656755754	0.111300436555	0.158084694591	0.152704195887
a31	0.284783731701	0.12478555581	0.107163592925	0.123727064985	0.168554232597	0.190985814296
a20	0.213167223434	0.124812541937	0.117094581615	0.135548659728	0.189534820866	0.219842168432
a31	0.177760837145	0.122735260179	0.119249876445	0.146285891709	0.195479109622	0.238489026544
a39	0.156910112382	0.124633575393	0.123785079082	0.15376051697	0.206519273207	0.234391440581
a31	0.149842511327	0.127756482264	0.131070646214	0.14921983339	0.220023753069	0.22208676046
a33	0.149230017309	0.137734717755	0.132132443991	0.152642298463	0.217761047356	0.21049947282
</S>	0.147687126155	0.144423184978	0.127119946995	0.161788232232	0.217769826178	0.20121168901
