 	io	non	ho	niente	da	mangiare	</S>
a8	0.1609217574	0.1227613739	0.120046209	0.1577812339	0.1294391076	0.1830939154	0.1259563916
a31	0.189090328067	0.1368052993	0.137206057867	0.1573386259	0.120865482267	0.160475070867	0.0982191346667
a8	0.190867054689	0.135496544767	0.141876960156	0.155201667367	0.132908765422	0.156886816156	0.0867621890222
a20	0.206653578896	0.138766455922	0.137064559052	0.154396216189	0.127042506741	0.155882070585	0.0801946045407
a31	0.255235984965	0.161322018307	0.141851948284	0.17093768273	0.0852082559137	0.126225740062	0.0592183681802
a14	0.264565024988	0.158526361969	0.131613083961	0.181857448443	0.0747780929046	0.126516812687	0.0621431780401
a31	0.239292245129	0.140650315256	0.129350177654	0.208849863548	0.0770473117682	0.133098757229	0.0717113328267
a13	0.212830188576	0.115459563952	0.123788445951	0.249167302983	0.0753192031227	0.143482321876	0.0799529875089
a37	0.175526757859	0.0927153160507	0.10443063485	0.292560328594	0.0860738656409	0.159792193425	0.088900916703
a10	0.132687456753	0.0798179462169	0.08481617895	0.345516283531	0.106844521814	0.163027270275	0.0872903409677
a20	0.104992627184	0.072963595739	0.0699320069167	0.353889087177	0.119336124805	0.188978895158	0.0899076571226
a7	0.0855082086613	0.0674168063797	0.0622860538389	0.353065887059	0.107064604202	0.219590371786	0.105068064041
a18	0.0704041061138	0.0608778348266	0.0561771305463	0.36782319182	0.0959568032007	0.219557903362	0.12920301948
a44	0.0690309267646	0.0659761376222	0.0605104623821	0.354763960407	0.0985690894669	0.203266875754	0.147882529493
</S>	0.0718214594323	0.0723612953811	0.0660783627911	0.336399770704	0.101952905133	0.196605953377	0.154780238446
