 	mi	sono	vestito	</S>
a39	0.512025468	0.14413604555	0.1974696111	0.146368868
a11	0.595504006667	0.114648720217	0.18201600104	0.107831279333
a13	0.614110312889	0.108999188339	0.16535569132	0.111534817844
a18	0.609135672963	0.116558871846	0.15137113944	0.122934320181
a31	0.605379540321	0.109802401882	0.161843032833	0.122975018094
a37	0.595188226107	0.102603337294	0.166998901838	0.135209532565
a15	0.552837817369	0.115207382231	0.163301832586	0.168652980455
a31	0.451157193123	0.149519438077	0.189094746995	0.210228640418
a46	0.368066747374	0.175236337759	0.222236059665	0.234460862139
a31	0.308597263791	0.222301107653	0.231557217888	0.237544402713
a20	0.263692825464	0.254974963218	0.234889426629	0.246442770904
a31	0.251052101421	0.237447987073	0.222787619543	0.288712282968
</S>	0.24116174431	0.228743164537	0.207103292771	0.322991796484
