 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.0902390665	0.092997608	0.092254494	0.05107472156	0.05748032247	0.0678316127	0.1022867652	0.1537769034	0.173318469	0.118740025
a37	0.115951711433	0.1173867504	0.0973945081333	0.04506015484	0.05341869323	0.0651482326333	0.0973007410667	0.140691331467	0.163990757	0.103657111133
a31	0.156333826744	0.142878961867	0.122272976711	0.0394488560067	0.0503660271033	0.0529943497444	0.0837497090889	0.123383311156	0.145693727	0.082878264111
a20	0.165153827181	0.145675987289	0.136082207304	0.0504132633422	0.0499252638478	0.0403734022481	0.0686278234963	0.117115314252	0.147178827	0.079454074337
a31	0.16413534566	0.151834827763	0.136201051235	0.0536723805207	0.0464150946959	0.0340516990694	0.0654976295654	0.116400146551	0.151572687067	0.080219104679
a13	0.163744608553	0.151752949588	0.125789189412	0.0648654522869	0.055895717332	0.0337180161765	0.0669178035218	0.11561544505	0.147777029889	0.0739237728263
a31	0.149542920784	0.139228737396	0.102790718871	0.0833167539156	0.079862047644	0.0353319189588	0.0650807115073	0.118610443883	0.154307108496	0.0719286352754
a20	0.134466512528	0.123449366599	0.0874573782237	0.0884710363252	0.095525937048	0.0358773538529	0.0611261595691	0.125305856161	0.167252809432	0.0810675900251
a17	0.115084112176	0.100004477266	0.0783502144079	0.0937627677751	0.107401820283	0.0339292752576	0.0536907304564	0.13053251312	0.188689782144	0.098554311875
a20	0.100342772125	0.0892960723553	0.0716472064026	0.081166026525	0.110658531161	0.0323621306592	0.0479923750855	0.137948667173	0.215151591515	0.113434629758
a31	0.0957649572417	0.0890082641851	0.0680047663342	0.078493189375	0.103546831787	0.0380524162197	0.0473582116285	0.138960156524	0.214829750438	0.125981457253
a20	0.0976260259472	0.0936131760617	0.0698531272447	0.0766770033917	0.0962405792623	0.0453930989399	0.0497287526762	0.129253907308	0.206082423413	0.135531901218
a31	0.0980505927157	0.0925478100872	0.0737599192816	0.0720222793972	0.0843904284208	0.0516741457133	0.0531150336254	0.118463951769	0.196603899138	0.159371942206
a3	0.0967451317719	0.0904468173624	0.0749419791139	0.0726102231324	0.0735970546736	0.0577465909711	0.0581426670085	0.115383468456	0.184986549046	0.175399533269
a8	0.0870448904306	0.0822076668141	0.070062074738	0.0680568175775	0.0658430526245	0.0696887003237	0.0657302386695	0.117979576285	0.178978027282	0.194408965756
</S>	0.0778292631753	0.073510853447	0.064324530689	0.0683352230888	0.0635570501123	0.0805413099618	0.0708621228347	0.118061915543	0.171837465041	0.211140268878
