 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
a8	0.0688516726	0.05836742805	0.077131541	0.0739194531	0.0641573077	0.0746999702	0.1034471232	0.0676109651	0.0731912796	0.0904003054	0.1572543	0.0909686513
a31	0.0685251111667	0.0544231901833	0.0663776848333	0.0713609116067	0.0565961386533	0.0749161761333	0.1213195884	0.0659100629	0.0786812724667	0.0966816664	0.166042129267	0.0791660615667
a28	0.0736091374222	0.0588130600811	0.0802418667111	0.0689169066422	0.0563641864378	0.0757876812444	0.1206235516	0.0571412492333	0.0800487320222	0.099495889	0.162966013956	0.0659917114556
a31	0.0742088859407	0.061235328847	0.101002953837	0.0644331627474	0.0643754187459	0.0891849524148	0.129294862133	0.0517521279444	0.0774048754741	0.0872628229333	0.149358975499	0.0504856263519
a20	0.0676802606469	0.0534111676157	0.0918745723457	0.0598979069825	0.0644766117153	0.0914936787383	0.144667671511	0.0511324389148	0.078060186758	0.0774805106444	0.155956331546	0.063868661584
a31	0.064198413949	0.0437685428919	0.0680538398486	0.0604909393275	0.0597557712384	0.0943008977128	0.167909536904	0.0503082855049	0.0794731312527	0.0751847266148	0.157852514715	0.0787034023947
a21	0.055038174383	0.0348089017173	0.0506607895495	0.0622182569092	0.0585174415461	0.0988420265043	0.177679174235	0.049124269835	0.0835661362842	0.0781252594716	0.156584689505	0.0948348796649
a31	0.0490198493943	0.0300463510991	0.0426203369165	0.0613670344364	0.0586040110487	0.0884738668348	0.172637678745	0.0500950020117	0.0894593995614	0.0892541068905	0.163532589235	0.104889753822
a17	0.0449034576648	0.0253563239864	0.0335358620388	0.0580569889455	0.0559678566829	0.0816831190783	0.163081629915	0.0490971611372	0.0965462313205	0.0980586566968	0.175110698545	0.118602009941
a29	0.0409828019549	0.0262646229821	0.0347926305729	0.0613629105152	0.054255653961	0.0797608642261	0.136443365838	0.0456267182457	0.0927946109735	0.0929309522323	0.196417720715	0.138367165447
a24	0.0399359061183	0.028317669454	0.0374030462176	0.0651729047051	0.0563462865203	0.0788822680754	0.125945224279	0.0438096957152	0.0875009275245	0.0903490040108	0.209949498172	0.136387573416
