 	vogliono	girate	</S>
a31	0.448256217	0.333663462	0.218080317
a20	0.408037855667	0.381858097333	0.210104045333
a31	0.362165465556	0.433782662444	0.204051871178
a18	0.339508871519	0.459644004148	0.200847129793
a46	0.330996313173	0.471191291383	0.197812411398
a31	0.334530487058	0.483218335128	0.182251190733
a3	0.317830440753	0.466324917709	0.215844638911
a10	0.306684916651	0.443758777903	0.24955630117
a39	0.307953596217	0.440445983968	0.251600427057
</S>	0.302305813109	0.438507615984	0.259186580528
