 	sono	vestita	</S>
a31	0.259433625	0.463783926	0.276782452
a20	0.246275908733	0.504959814667	0.2487642744
a31	0.257116843311	0.513193803556	0.229689351867
a41	0.254320095104	0.513332177852	0.232347736622
a46	0.234169661701	0.477483218617	0.288347129541
a18	0.2460045559	0.419656658872	0.33433878318
a24	0.2649217429	0.370609712291	0.364468542393
a31	0.268203511567	0.335279862764	0.396516632464
a11	0.283193993522	0.310436788255	0.406369220488
a0	0.293456280641	0.289985695418	0.416558026163
a15	0.278498909747	0.289362733806	0.432138364721
a8	0.267022973116	0.273422187869	0.459554850907
a39	0.274369089505	0.271902745223	0.453728174302
</S>	0.282564503752	0.285525733612	0.431909765151
