 	dovevo	comprare	pane	ogni	giorno	</S>
a8	0.2035046876	0.1336869035	0.1292920917	0.1482772934	0.2202591177	0.164979897
a31	0.211693124	0.140303662567	0.106325414433	0.149944930733	0.2438937279	0.1478391262
a24	0.200434071067	0.140938497556	0.0935034619443	0.163159852044	0.278032089167	0.1239320222
a37	0.188520991956	0.131129616885	0.0857885333814	0.162048122348	0.316327770789	0.116184964467
a14	0.175162282319	0.117108368848	0.0796467282938	0.160332558916	0.343264298663	0.124485749689
a29	0.151897329373	0.098830637936	0.0695222294646	0.160550451239	0.366110774221	0.153088560696
a0	0.125609807458	0.080411034412	0.0584991732215	0.156019342146	0.378635912074	0.200824723499
a29	0.121548329553	0.0771952149373	0.0590691341405	0.156187126315	0.371253343025	0.214746862233
a20	0.133360874451	0.0831032103791	0.0675687067135	0.156449190638	0.354348906675	0.205169126611
a31	0.140203630484	0.0882370644597	0.0926844111712	0.147707320346	0.318366101892	0.21280147527
a24	0.147193894761	0.0940324721532	0.116129776324	0.140761190849	0.286354069631	0.21552858749
a46	0.153194861187	0.107059049918	0.119409345308	0.146363614483	0.272283612544	0.20168950583
a31	0.172692384396	0.120603399973	0.120905301103	0.143014275494	0.237638286181	0.205146349943
a0	0.175076966599	0.123686121924	0.126073392501	0.138437655965	0.216044878727	0.220680991314
a20	0.158594795666	0.125724247908	0.128182584167	0.138677044122	0.221892405576	0.226928928438
a31	0.166676027222	0.131458303969	0.125587427902	0.133265157041	0.203581196192	0.239431898813
a46	0.167598909074	0.135900624656	0.127169707847	0.12892169688	0.178080218397	0.262328861604
</S>	0.158140113037	0.137084617328	0.129425016173	0.12953320134	0.175098857198	0.270718209802
