 	stava	ancora	cucinando	</S>
a8	0.1678323998	0.2413131036	0.327270633	0.263583858
a46	0.156064219267	0.2601597816	0.345026575667	0.2387494128
a24	0.144936891069	0.2807286952	0.358653889889	0.215680528
a37	0.121085730603	0.280166701733	0.394118625296	0.2046289496
a20	0.098805485401	0.262538610578	0.429967492432	0.208688406533
a31	0.0964615175337	0.259990664859	0.452433282144	0.191114544844
a37	0.0950924318446	0.256990912953	0.457124042048	0.190792637615
a31	0.0982799003482	0.258571424318	0.432693644016	0.210455043205
a20	0.111708549983	0.267838533439	0.382059768005	0.238393149735
a31	0.126621352128	0.246395253146	0.362876778002	0.264106614578
a6	0.156137141243	0.215006095382	0.343624570001	0.285232180859
a31	0.164971767348	0.204476804794	0.338797532667	0.29175388162
a20	0.169565411783	0.203368364265	0.342607368222	0.284458847873
a46	0.204535966061	0.195688721422	0.304385826474	0.295389479291
a31	0.211539806154	0.192683711141	0.290306944558	0.305469535097
</S>	0.195533408077	0.19492072357	0.295887887279	0.313657980549
