 	viene	fabbricato	</S>
a31	0.512086715	0.28916591	0.1987473675
a24	0.607048205	0.245321883667	0.147629905567
a31	0.714045142333	0.191981858689	0.0939730019223
a18	0.752279412778	0.16757619061	0.0801444103741
a31	0.745271507593	0.173542341317	0.0811861689914
a37	0.705952152531	0.193449564239	0.100598289464
a31	0.642183348844	0.215334863146	0.142481781821
a20	0.559035750948	0.224702064849	0.21626217994
a41	0.489439282983	0.244170729883	0.26638998798
a31	0.422670650994	0.264451629228	0.312877723327
a35	0.360766014998	0.268907066743	0.370326914442
</S>	0.341832203499	0.274160794371	0.384006993221
