 	non	mi	aspetti	non	vengo	</S>
a33	0.198162604	0.2542117166	0.1540204	0.17495823	0.1115528019	0.1070942615
a31	0.228226199333	0.278619771933	0.1468471422	0.172762858667	0.0938295727667	0.0797144673667
a37	0.246159833111	0.299094849978	0.146976863667	0.163486158222	0.0811941531222	0.0630881411556
a35	0.24532469837	0.319608414659	0.139353139422	0.155031269674	0.0791959483074	0.0614865299252
a31	0.25290609639	0.325972335553	0.126938108074	0.140912116958	0.0907296769691	0.0625416758817
a7	0.23057074575	0.286735489851	0.140085785158	0.147025654786	0.113241287456	0.0823410485606
a18	0.194637631363	0.21348363775	0.185607612786	0.158651359929	0.132532845085	0.11508692172
a24	0.176317154748	0.16337593505	0.197623763529	0.163321561976	0.152175339428	0.147186251507
a31	0.155301029516	0.13600569075	0.177895392376	0.181681519659	0.160923632809	0.188192736502
a20	0.136210671639	0.122436149983	0.173184196459	0.18991814422	0.170464046936	0.207786786167
a8	0.1204773601	0.111372884821	0.166358339286	0.178712240073	0.208033845312	0.215045319789
a31	0.114809682387	0.1060645075	0.156966006429	0.172252477358	0.217393917104	0.232513403396
</S>	0.117490173493	0.10693802635	0.156093515015	0.174213443679	0.200611098552	0.244653748298
