 	prima	di	andare	alla	scuola	</S>
a7	0.1144567147	0.2371976217	0.1930986053	0.1588666916	0.150080521	0.1462998574
a11	0.128668025767	0.265091860233	0.193373395167	0.166644031467	0.127692170867	0.1185305324
a43	0.129997283589	0.275771282078	0.171431870256	0.170873753822	0.157004531356	0.0949213007333
a20	0.128408977463	0.261691421359	0.150373578505	0.179823493007	0.184257771319	0.0954447748444
a31	0.115272531388	0.229616457786	0.146912918722	0.185850289002	0.222817457506	0.0995303534815
a20	0.0938165431627	0.187022509062	0.150274775841	0.178390107001	0.267888586902	0.12260746736
a31	0.0893015560542	0.157961024221	0.14973175948	0.170741557667	0.274443429901	0.157820656187
a20	0.0938235024847	0.141680201274	0.14241945276	0.170314684956	0.267629163567	0.184132996062
a31	0.106441404228	0.131603194491	0.12804083192	0.160433640519	0.260984062522	0.212496867687
a20	0.117946660276	0.134489260764	0.126145126973	0.151425357306	0.239293131507	0.230700468896
a31	0.116134295425	0.132790354321	0.122698092458	0.152363197769	0.225645728502	0.250368344299
</S>	0.113813785413	0.12773746776	0.113115893429	0.143690852885	0.232927850251	0.268714161149
