 	l	ho	sentito	quando	veniva	</S>
a31	0.1963315323	0.1522086638	0.1482426898	0.1451257527	0.1934719418	0.164619417
a46	0.208814558967	0.1954402798	0.154691577667	0.140527252167	0.139406123133	0.161120220867
a41	0.210628136989	0.210395814133	0.168863317422	0.146701513522	0.140077472844	0.123333759689
a31	0.220628447663	0.178982720711	0.175835240207	0.153082894507	0.162047944615	0.10942275763
a24	0.227841834221	0.169707242837	0.171573734069	0.159058277569	0.151962214205	0.119856697943
a31	0.26579293754	0.158891887546	0.16366841269	0.14304186879	0.119579590602	0.149025301914
a15	0.272323523647	0.152292639849	0.156084444563	0.12595744033	0.110589400601	0.182752557705
a46	0.230881982816	0.159475711616	0.151255552521	0.13394124691	0.117218617934	0.207226902035
a31	0.210253528539	0.148385967205	0.141774558174	0.144477810303	0.140030515178	0.215077636212
a0	0.193417568046	0.140864477668	0.131880510858	0.142622160768	0.148631650459	0.242583649804
a41	0.172117158769	0.129830991023	0.129861575886	0.139485480229	0.13894166622	0.289763145268
</S>	0.159531815714	0.118170326811	0.131932371143	0.140541187075	0.13845628761	0.311368025634
