 	le	melanzane	vogliono	ee	girate	</S>
a31	0.1737979579	0.1564624534	0.1642469925	0.1663204803	0.1869461918	0.1522259445
a20	0.1694809643	0.143345644667	0.1895602545	0.177465522433	0.190737205333	0.129410435233
a18	0.170334484633	0.139739528356	0.203326650167	0.189087097811	0.183544534111	0.113967733078
a20	0.149715008944	0.123896430252	0.175823828922	0.214001541937	0.210397646704	0.126165559359
a38	0.130365263248	0.108148317817	0.143715296174	0.230554990646	0.238545959235	0.148670188453
a17	0.118873603083	0.097274957739	0.125940183525	0.228118407549	0.258168048745	0.171624807484
a31	0.103611511494	0.0862593434463	0.118634835642	0.233943095183	0.280260200248	0.177291018228
a20	0.0866860819647	0.0738478596154	0.116767203681	0.233912819394	0.314314116749	0.174471927609
a41	0.0787593565882	0.0642455213718	0.115655885894	0.219719332131	0.346092317583	0.17552759727
a29	0.0762222714627	0.0619631875373	0.113653987365	0.21723464871	0.352472427194	0.178453480957
a11	0.0741114365542	0.0613070545991	0.111348798055	0.22040802557	0.342194096398	0.190630587386
a31	0.0794054964514	0.0682781197864	0.105419079752	0.216085012523	0.314149076133	0.216663223929
a8	0.0836101736171	0.0755314299421	0.102724425184	0.203896906841	0.309072040711	0.225165035243
a31	0.0904983818724	0.075530667514	0.0988215335947	0.190898077147	0.313607917304	0.230643428414
a1	0.0942219905575	0.0738782641247	0.0948752141316	0.192268935916	0.291134355501	0.253621241671
a31	0.0946619441192	0.0736167635949	0.0908496271439	0.203836884439	0.268266529567	0.26876825589
a3	0.0962004721064	0.077767124565	0.0850404726813	0.19863963708	0.272807913589	0.269544388897
a31	0.0977603633021	0.0863660324217	0.0869570646271	0.199746223227	0.282049377196	0.247120940966
a8	0.104025956901	0.0947465881006	0.089263477009	0.195407155476	0.275610303732	0.240946509655
a23	0.111346949367	0.104977227794	0.099262860403	0.186570851559	0.263745263911	0.234096841218
a31	0.117568675322	0.110764143398	0.104876922734	0.189426626453	0.25599956797	0.221364052406
a46	0.117230003107	0.109730348533	0.100026222845	0.177796397818	0.259693329057	0.235523690469
a37	0.119554221636	0.114136382244	0.104439064415	0.168842385206	0.255674970419	0.237352987156
a46	0.115928372012	0.112222607348	0.114215726338	0.178884893535	0.252522785806	0.226225626519
a24	0.104635181671	0.104546052849	0.118011014779	0.186621386512	0.249140627935	0.237045744306
a31	0.10955183409	0.106901536083	0.111331060193	0.184392738771	0.243260629312	0.244562207435
a46	0.116960984697	0.113503504694	0.111979222398	0.17664318179	0.246326048837	0.234587058812
a31	0.126560955299	0.121895214898	0.116093098999	0.17102390213	0.240870382679	0.223556437271
a8	0.1381338045	0.134518864899	0.120862393	0.17378891091	0.23068071356	0.202015297757
a24	0.130559376367	0.134801064766	0.124178646267	0.169841573503	0.24205272852	0.198566598919
a8	0.126795441456	0.132482479189	0.125746655356	0.173839833434	0.243134253507	0.198001320906
a31	0.132290042685	0.13495609573	0.126470217919	0.182492672878	0.228459575502	0.195331368569
</S>	0.134484953442	0.133959706265	0.12218264316	0.181023205039	0.223233163251	0.205116298285
