 	devo	pulire	l	albero	</S>
a39	0.1859862086	0.163485502	0.181486756	0.2566614994	0.212380037
a31	0.2205848766	0.1479071994	0.161605898667	0.298912578467	0.170989439267
a35	0.2370644102	0.1446748982	0.154053868889	0.320417240822	0.143789572689
a31	0.2173000626	0.146657851333	0.162223296296	0.347302395607	0.126516385896
a20	0.199407282133	0.149401429778	0.170922751765	0.367911933202	0.112356599765
a31	0.177453958111	0.137383485593	0.182139515322	0.388241600401	0.114781443255
a37	0.157940956437	0.104995121264	0.172284111107	0.428091752134	0.136688058952
a1	0.136623848212	0.0806245350213	0.150743314636	0.450426271378	0.181582039784
a20	0.131323263004	0.0688356806738	0.132286230412	0.466182642459	0.201372212328
a31	0.131348653201	0.0629356278246	0.130440963871	0.468130813486	0.207143956576
a39	0.1207686748	0.0580573122749	0.11995308069	0.478073520495	0.223147419992
a10	0.129995950333	0.0576121104916	0.106914102763	0.484820536832	0.220657312197
a29	0.142129065244	0.0601615642305	0.104704418921	0.477492762944	0.215512189332
a46	0.147483079615	0.0675645285435	0.10279563864	0.453237071648	0.228919675444
a31	0.168677988805	0.0809579346478	0.111550478213	0.399558932283	0.239254654815
a20	0.172775875935	0.0897151048826	0.119291693271	0.360869445828	0.257347878272
a13	0.163529217112	0.0968871870275	0.129576297624	0.340760888609	0.269246405757
a20	0.161163711771	0.105292464676	0.159986702541	0.32498225687	0.248574851586
a31	0.175609772604	0.108535965825	0.161789335514	0.30076993229	0.253294993862
a11	0.186478892648	0.111118845742	0.139287656771	0.286923602763	0.276191005954
a17	0.178715473329	0.123763563314	0.14727913059	0.289536512254	0.260705313985
a20	0.17685381901	0.135032165638	0.16611315393	0.281966898085	0.240033956662
</S>	0.176254974835	0.136174098819	0.173919447965	0.278638803042	0.235012671331
