 	voglio	che	Maria	venga	domani	</S>
a20	0.1462438108	0.187897798	0.1262476902	0.2325206232	0.1228767161	0.1842133451
a21	0.1791039398	0.229641349667	0.114325413	0.223661335133	0.106014274033	0.147253666433
a31	0.234275883933	0.255505630889	0.123907514867	0.199830857911	0.084362924411	0.102117170611
a37	0.251830461978	0.251393789963	0.142087326889	0.185071435504	0.082051023937	0.0875659566037
a31	0.268803221993	0.238970380988	0.144533052096	0.191163454435	0.0763744618457	0.0801554323346
a35	0.278505467331	0.210089602329	0.121894972699	0.210960340812	0.0783066184152	0.100243018578
a31	0.261564438444	0.18623550811	0.102166031966	0.245099497737	0.0909654043384	0.113969137926
a20	0.246496085481	0.18048187937	0.0910801847887	0.279571752646	0.0975038032461	0.104866302109
a31	0.23235011876	0.167893524457	0.0873597447962	0.299106176282	0.101230207815	0.112060227503
a18	0.229267172787	0.150892679086	0.0831053435987	0.303390684694	0.103106375605	0.130237739301
a31	0.219473180529	0.141435858029	0.0789146431996	0.297830238031	0.107831525935	0.154514556434
a3	0.207329433843	0.14118431541	0.0848013157332	0.28477463001	0.114876925378	0.167033369145
a13	0.187860480948	0.14277791007	0.0959829393777	0.25656599047	0.128444896259	0.188367762982
a37	0.169826364983	0.14440898229	0.103087917259	0.234203982957	0.13695896942	0.211513781261
a46	0.162568400661	0.14556303503	0.108462307886	0.213286215319	0.136270759807	0.233849283087
a31	0.162131829954	0.14459364261	0.116583716162	0.177909455973	0.137760600336	0.261020748696
a18	0.161307964585	0.14736532967	0.124037098854	0.153291288924	0.147067463579	0.266930861899
a46	0.146157619395	0.150087060223	0.129093217285	0.148421906708	0.153824831593	0.2724153753
</S>	0.138088869698	0.147463774411	0.131886537443	0.145773966354	0.153978709796	0.28280814365
