 	sta	e	dorme	nel	letto	</S>
a33	0.114208548	0.1813086666	0.278155164	0.1462866478	0.1488819204	0.1311590415
a31	0.138261341733	0.213301365533	0.325489878	0.134807533267	0.111001728867	0.0771381365667
a37	0.177631703244	0.248812487844	0.317316952267	0.129319775536	0.0796498901557	0.0472691667889
a31	0.217162999748	0.285704385948	0.266649694356	0.125234502159	0.0684434366519	0.0368049646363
a13	0.214201118916	0.258383967916	0.264854176119	0.153875680186	0.0694853645506	0.0391996914388
a20	0.166297779012	0.197040190772	0.313239774706	0.175622435729	0.0715209223835	0.0762789029529
a24	0.133299334857	0.172784103611	0.372863684902	0.16040889831	0.0622353777945	0.098408615871
a28	0.116751849699	0.153281586424	0.416656042701	0.148834607437	0.0566883109315	0.107787632224
a31	0.1278269351	0.139889623008	0.4401572913	0.136516987812	0.0534382442438	0.102170941581
a35	0.140542162967	0.132066237136	0.4483609791	0.125828946971	0.0565159138146	0.096685773767
a18	0.125299595922	0.119048423179	0.424318989367	0.12763174409	0.0694342818049	0.134266967789
a31	0.116066375641	0.123459286393	0.411505282122	0.132873973697	0.078518803335	0.13757625773
a13	0.113096549614	0.121122811598	0.378545018441	0.141821476066	0.112687395245	0.132726730243
a39	0.117057425871	0.109008597066	0.299430679214	0.158516548189	0.169209613748	0.146777122881
a31	0.12881159029	0.114594965555	0.236692520805	0.15941941793	0.180202105649	0.180279385227
a21	0.128177212563	0.120394961118	0.198499146535	0.152468335777	0.190234283616	0.210226051076
a31	0.130901628521	0.121092348973	0.168910411312	0.141629899326	0.200096025205	0.237369680092
</S>	0.14053678906	0.125443312887	0.151395412556	0.131291377363	0.186828436602	0.264504665646
