 	l	ho	sentito	che	viene	</S>
a34	0.2134678794	0.1367649696	0.11884869496	0.1100777762	0.2381735667	0.1826671117
a46	0.233748824533	0.1397916776	0.114649761893	0.114733999533	0.205000494767	0.192075235813
a41	0.232904292644	0.145853600533	0.115445465098	0.119777033911	0.219675456122	0.166344152118
a19	0.221148350615	0.123973691244	0.111411254233	0.120036073704	0.259602809707	0.163827812573
a31	0.219096251605	0.111418960415	0.109366106611	0.120067000368	0.264137150902	0.175914516058
a20	0.189796401468	0.0967049095383	0.10695063247	0.121520457056	0.266029681301	0.218997914153
a31	0.144504044423	0.0858292659128	0.108695712157	0.132838891152	0.279689731434	0.248442360318
a24	0.114694797208	0.0866105049243	0.109354349719	0.131298568384	0.300430040478	0.257611745839
a31	0.0951907164027	0.0835924129281	0.10399720424	0.130101657128	0.315176204159	0.27194179528
a23	0.0925260728009	0.0796375891094	0.106703115813	0.163683184043	0.315908416053	0.24154160176
a20	0.0964488918003	0.0853880907031	0.111358247204	0.171501283014	0.302741084018	0.23256239192
</S>	0.0984603816001	0.0893283375515	0.113021018802	0.152950647007	0.294508420009	0.25173119096
