 	ancora	non	mi	sono	vestito	</S>
a8	0.201557807	0.188542215	0.23288259	0.08678137357	0.1531970183	0.1370389833
a31	0.225037551667	0.225805191667	0.236847841333	0.0786507425033	0.123085789433	0.1105728737
a10	0.252200159222	0.251324388556	0.232360023778	0.0700056133678	0.105890213278	0.0882196099667
a31	0.289065790407	0.253483003985	0.253106363926	0.0540631468559	0.0890180342927	0.0612636729222
a18	0.297906853469	0.241072375795	0.285958147309	0.050626834592	0.0708996575242	0.0535361387741
a31	0.292717918823	0.224759992332	0.312374333103	0.0479662227707	0.0670920498014	0.0550894715247
a20	0.289708711274	0.213537434511	0.303368428368	0.0492002071902	0.0734600097005	0.0707251884416
a31	0.284349032425	0.193312708837	0.290953307456	0.0570877847967	0.0858275590668	0.0884696006805
a13	0.262554711475	0.166459458279	0.308796174485	0.0592440194656	0.0947572837556	0.108188348827
a35	0.220401187425	0.14755115256	0.309822897895	0.0617281591552	0.101031860319	0.159464728009
a39	0.192590152542	0.13651875172	0.294236738698	0.0727681323851	0.10904183364	0.194844375136
a46	0.182934937314	0.14220457564	0.257875087233	0.0907593469284	0.117119610947	0.209106439045
a31	0.174220561371	0.13906975588	0.201995533944	0.130001242176	0.128750065649	0.225962838748
a20	0.16482810255	0.132207427293	0.172444506381	0.155437411259	0.141522985216	0.233559560249
a31	0.158162652643	0.128472554631	0.157030680527	0.170274025553	0.148091315739	0.23796875635
a39	0.152769395994	0.127138412944	0.144443142876	0.179680766051	0.162958657246	0.233009605717
a31	0.152700925385	0.131785388181	0.144002941059	0.171596488884	0.174062557749	0.225851688239
</S>	0.154344770052	0.13459446709	0.13942394193	0.170960428942	0.171958211874	0.22871818062
