 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
a46	0.0783827827	0.0801247828	0.09243321	0.0777959262	0.0924956995	0.0775801665	0.11509118275	0.07132201	0.0892289182	0.1189409782	0.1066043561
a31	0.0852913661667	0.0875783384	0.099914374	0.0831850632667	0.0967584119667	0.0720447340333	0.13547930265	0.0638943724667	0.0839413447333	0.108084923467	0.0838277726667
a17	0.0936132061889	0.0984315588	0.118561999533	0.0907969921556	0.0954094571222	0.0694921384778	0.13162141695	0.0537470079556	0.0726507497778	0.100099801289	0.0755756708889
a41	0.0987338665296	0.109252232467	0.135614470911	0.0923388910519	0.0891002562407	0.0674428958259	0.123902225117	0.0541525549852	0.0600085682593	0.0933757910963	0.0760782540896
a31	0.107258276843	0.124986127889	0.134835472304	0.0967130671506	0.0903810178802	0.064139952342	0.136611744839	0.0516977088617	0.0502937075531	0.0818356842321	0.0612472448232
a38	0.105067765014	0.12387914423	0.122000772101	0.0975160428502	0.0887969894934	0.0639241417807	0.139486275146	0.0529932998872	0.0523720743844	0.0885142032107	0.0654492948077
a31	0.0914550230713	0.112649597077	0.1181999625	0.10711021095	0.0869806102311	0.0687727693269	0.125182641915	0.0569461504957	0.0551366137948	0.0942575791369	0.0833088606626
a17	0.0726983242571	0.0968416160923	0.110916958167	0.109972703717	0.0925306304104	0.0752865750423	0.128467747972	0.0530229056319	0.0544052853316	0.098645552579	0.107211723768
a31	0.0596613234857	0.0849324653641	0.102810474522	0.109906075306	0.0951431208035	0.0812731875474	0.129194153324	0.050388621344	0.0549314960439	0.10545935006	0.126299746216
a39	0.0511877785952	0.077961621208	0.101794937241	0.113709643435	0.0987194298012	0.0852030391825	0.135728209108	0.056865923048	0.0504068596813	0.104551206153	0.123871368072
a35	0.0395702560517	0.066743375736	0.0893954194137	0.104874986278	0.100389712	0.0832545127942	0.144106871703	0.0538332575493	0.0527063722938	0.112194778651	0.152930457611
a31	0.0369697582372	0.061934563332	0.0863730720046	0.104039964559	0.100679587867	0.0832195223314	0.135988191368	0.0424341875164	0.0548985033646	0.126492809017	0.16696984371
a46	0.0358100872057	0.0575622892307	0.0848775888949	0.103330635853	0.103433385789	0.0853352661105	0.141675487256	0.0404117604388	0.0540468947882	0.138138491272	0.155378111937
a38	0.0286659369019	0.0467733248902	0.0723633487916	0.0933872742843	0.107761132896	0.0860069697702	0.172604597085	0.0446332557796	0.0559383268627	0.133844651557	0.158021168846
a13	0.025566372194	0.0411110284967	0.0648160611305	0.0873977661614	0.109201423565	0.0865251947234	0.198362881028	0.0476502772065	0.0566668693542	0.127365660586	0.155336473889
a11	0.0265049994913	0.0418051784789	0.0657991854568	0.0855484543205	0.105379308255	0.0853910654411	0.204044617409	0.0475516838488	0.0571045814514	0.128729955595	0.152140977503
a13	0.0279983713838	0.0441219519396	0.0680334455123	0.0856904250402	0.100793306885	0.084113682747	0.19315132687	0.0474726156829	0.0633682234838	0.132718546865	0.152538099314
a31	0.0334530933413	0.0493304020265	0.0664752214508	0.0881420472534	0.111841941535	0.092241667849	0.16466138989	0.039743412981	0.0671187140279	0.131693624222	0.155298482691
a49	0.0337973957471	0.0458564445088	0.0582507634703	0.0822898860845	0.123292559858	0.10203702035	0.154066430897	0.041087029547	0.0718723947426	0.132316589007	0.15513349145
a13	0.0291061138157	0.0377710452629	0.0511317084368	0.0744618897215	0.127215951059	0.105420114517	0.161589716632	0.0543584789823	0.0827599377809	0.124835325802	0.151349723583
a20	0.0299432754052	0.0380944092276	0.0507443221056	0.0794372899738	0.136464946886	0.116217772639	0.159141941211	0.0614349985674	0.0849617313936	0.103668090867	0.139891216028
a31	0.0405541740017	0.0485752417959	0.0561659142352	0.0831313013246	0.136418640542	0.12264066008	0.13320037207	0.0562981032958	0.0897313721312	0.100591425622	0.132692786209
a8	0.0510012188139	0.0576852012653	0.0608100669317	0.0795239265749	0.120616557294	0.122553750093	0.112792343023	0.0647051966986	0.0919433809104	0.104146571074	0.13422178207
a31	0.058387118218	0.0633119166684	0.0676686933639	0.0803774734583	0.101143340591	0.109172337164	0.103512108274	0.0765594734329	0.0877169036368	0.103757094291	0.148393545957
a45	0.0596590676727	0.0649484754895	0.0724038655213	0.0823983896861	0.0930548206903	0.0991328973213	0.096078091358	0.0758286150776	0.0899022607456	0.10545011463	0.161143405386
a31	0.0600283030242	0.0650566180965	0.0728600956404	0.0829568564287	0.0903000048101	0.0955285022138	0.096293696986	0.0762652997592	0.0928623305152	0.104798445077	0.163049847195
</S>	0.0658132090121	0.0698858136483	0.0758928996202	0.0852512041143	0.0879080345751	0.0873069172669	0.091606899293	0.0733768743796	0.0945817399576	0.103396299538	0.164980112097
