 	quest	anno	che	viene	mangio	quanti	voglio	</S>
a23	0.1483750269	0.133985308	0.0923594	0.0913159397	0.1114211011	0.1581365124	0.1410730315	0.1233336855
a31	0.187707831833	0.176752000933	0.116008485	0.0855526218333	0.104299540033	0.132077679267	0.111360763833	0.0862410839
a37	0.191506518211	0.195351338978	0.155446880667	0.0871715859444	0.103004305011	0.111576714556	0.0904432437843	0.06549941748
a20	0.184062940004	0.195796915659	0.175806602556	0.0898578334481	0.100263229537	0.0985711615187	0.0867418801681	0.0688994301867
a31	0.180241448735	0.208444363886	0.177459192519	0.087888946816	0.0985396320457	0.102014241973	0.083027126476	0.0623850342156
a7	0.153722837312	0.189622659029	0.164534160173	0.100377086339	0.103995037682	0.115016743058	0.094914114512	0.0778173531119
a10	0.140821683771	0.160844434743	0.140244522391	0.11856395918	0.108929463827	0.127135305686	0.105025141171	0.0984354884373
a41	0.148359667257	0.156195571181	0.122495862464	0.124553561993	0.115042253342	0.136318200562	0.105238326257	0.0917965652124
a37	0.140440520819	0.14375848166	0.110337845688	0.137685015731	0.119626203914	0.142517475854	0.115198365819	0.0904360984708
a14	0.12519652154	0.12479114922	0.103731685829	0.154896263444	0.114343291638	0.146463743485	0.134367828006	0.0962095262236
a31	0.112827948047	0.115415671073	0.091854790943	0.156262749448	0.120204535746	0.149006102362	0.139040262202	0.115387945475
a20	0.100156289416	0.111945384958	0.0823802438277	0.144283158849	0.125820093382	0.160544223454	0.129248198567	0.145622396252
a31	0.0939815126053	0.0967026222527	0.0697218043226	0.139491135683	0.129727499394	0.182632002151	0.136229659556	0.151513751244
a37	0.102905327602	0.0836522042842	0.0531174915075	0.130396063094	0.138111984265	0.20324739125	0.133811986852	0.154757541415
a7	0.103500681634	0.0743111010281	0.0457777969025	0.113417527031	0.139019140555	0.218975700017	0.129800117151	0.175197925205
a10	0.100001288111	0.0667722660094	0.0425083000875	0.111873171644	0.142739717318	0.227289002939	0.132427867917	0.176388379202
a7	0.0990370497237	0.0631398561365	0.0433463717358	0.105475064181	0.147700818239	0.228556737313	0.134481674172	0.178262425734
a39	0.0841562308612	0.0586716837588	0.0478796504986	0.0961175375937	0.156150277213	0.215032385771	0.151049783657	0.190942448845
a10	0.0667064840204	0.0559125937663	0.0530430527662	0.102577117065	0.171925139538	0.202467117457	0.168224454152	0.179144041615
a32	0.0584950130935	0.0583844363888	0.0608791693887	0.118512188688	0.179636536513	0.192588372486	0.170812478317	0.160691796205
a19	0.0584856095845	0.0674784049296	0.0715307901962	0.126695204096	0.173845143504	0.173776724829	0.164437355039	0.163750757735
a31	0.0628311763015	0.0742064254432	0.0802024536654	0.123886161432	0.160208916501	0.152223320943	0.17144030568	0.175001245245
</S>	0.0649617216108	0.0758810294216	0.0839996637327	0.123608219416	0.15053419725	0.138938278472	0.18128220484	0.180794692623
