 	non	li	aspettiamo	più	</S>
a3	0.2416366506	0.2145657296	0.1005437667	0.2819761733	0.1612776676
a31	0.291688656867	0.19865292544	0.0834978979667	0.307057439767	0.119103084467
a35	0.320692974289	0.17338146132	0.0775649332156	0.330443839589	0.0979168009557
a31	0.325404947296	0.147961778507	0.0857931222319	0.347161368396	0.0936788058519
a13	0.304900793899	0.132610169502	0.0947267878773	0.368890787132	0.0988715034173
a31	0.2862559627	0.130434333167	0.0826361497591	0.370890047177	0.129783540739
a15	0.268033026433	0.130305932589	0.081342481853	0.363021340859	0.15729723378
a31	0.252562934411	0.125139004463	0.0852483372843	0.369179090953	0.167870633193
a46	0.246085218537	0.112622503954	0.0911249174281	0.361166856651	0.189000489464
</S>	0.239313351068	0.107339125977	0.094638086314	0.352364211826	0.206345201132
