 	i	bambini	non	si	vestono	da	soli	</S>
a31	0.09733560495	0.0700755034	0.0860342603	0.0956333956	0.1425708259	0.132540535	0.2578453935	0.1179645087
a0	0.103084743217	0.07393881984	0.0816309985667	0.079360863	0.139984624633	0.119583132667	0.289192266833	0.1132245687
a31	0.127343457472	0.09342901954	0.0818978464556	0.0701293218	0.138465650611	0.091631273689	0.290710531478	0.1063929025
a17	0.122472769997	0.0898172676467	0.0774580758852	0.0614225168667	0.145584181537	0.076322113363	0.307520207359	0.119402875367
a20	0.103186227906	0.0824632089756	0.0765860753617	0.0579012860222	0.150127429846	0.072231879721	0.30397993552	0.153523969922
a31	0.102155017635	0.0878233345052	0.0761380927872	0.0540762405407	0.162103881682	0.0774927968403	0.29406869624	0.146141942174
a37	0.096416982945	0.0820683399684	0.0722164620291	0.0518081260469	0.176567658294	0.0725678814801	0.308154016747	0.140200530991
a15	0.082652326315	0.0668889297895	0.0658113143764	0.0496752798156	0.173018287098	0.0574919568267	0.338423493582	0.16603841013
a46	0.0786724427717	0.0627919901298	0.0622140579255	0.0477061200052	0.160334624033	0.0538651988756	0.343467863594	0.190947696043
a24	0.0817477804572	0.0648383520433	0.0638668579752	0.0486438388684	0.158012390211	0.0574873069585	0.323993887198	0.201409591481
a31	0.105721897019	0.0858815939478	0.0738801247251	0.0557031648895	0.147940836137	0.0581666508528	0.297550601733	0.17515514276
a18	0.111121699873	0.0951116113159	0.0782958078417	0.0597936604965	0.134907780712	0.0599498301509	0.287835990978	0.172983629187
a11	0.091353102091	0.083609334572	0.0730937939472	0.0561322306988	0.129705555371	0.0651026142503	0.285299262326	0.215704115862
a35	0.087556435297	0.0849062872573	0.0751310696491	0.0525727987663	0.137858181457	0.0696833443501	0.265522552509	0.226769334754
a31	0.109164241366	0.0958811950858	0.081421988083	0.0585133087221	0.135133584752	0.0758893403834	0.261339218836	0.182657123318
a13	0.119886524255	0.103573987162	0.0833448558277	0.0658793223074	0.114340720651	0.0842142424611	0.253954455545	0.174805889506
a11	0.111844950752	0.107834149054	0.0877445037426	0.0673602536358	0.109152540084	0.0963355464204	0.219764485248	0.199963561235
a31	0.120881170584	0.110943161018	0.0952503747809	0.0756957688119	0.104194774295	0.0959134993401	0.192865386816	0.204255853145
a46	0.124290584395	0.112460351606	0.0968592619936	0.0810333608373	0.0983738692317	0.09256667938	0.175858797872	0.218557083715
a31	0.124296127998	0.122629200469	0.108822103131	0.0833159472458	0.0934459454772	0.09611780806	0.152254311557	0.219118552238
a24	0.128473904466	0.124983965956	0.11671492381	0.0860009067486	0.0918800367591	0.0939776550867	0.147056057586	0.210912558079
a35	0.128762123022	0.119803151585	0.11858385359	0.0853734565162	0.0923608659197	0.107575750229	0.163548097929	0.183992696026
a31	0.121893012874	0.123848723128	0.131025225083	0.0862819955721	0.0888986604399	0.114694772676	0.157237401243	0.176120189675
a46	0.125300655825	0.123163379136	0.130992083541	0.0886335041907	0.0862627577133	0.104786023359	0.150227578014	0.190633998558
a31	0.126787054775	0.123159513539	0.13314789376	0.0895200266636	0.0847853294044	0.102865463786	0.152470543271	0.187264168186
</S>	0.118774979537	0.128574805569	0.14262248588	0.0887397498318	0.0835622485022	0.103099363493	0.147352563535	0.187273810093
