 	avete	fatto	già	le	verdure	</S>
a6	0.1233798169	0.1821077819	0.1384782806	0.184634845	0.1829394921	0.1884598
a46	0.116025423167	0.2056384851	0.141923508733	0.181915479667	0.175434426433	0.179062671
a21	0.153832641122	0.211083271633	0.134868595911	0.158745386556	0.180709425011	0.160760666
a20	0.174648551307	0.237671337678	0.125047148837	0.134349963119	0.177683785004	0.150599216867
a24	0.153893293856	0.260305260559	0.127199111879	0.131479182773	0.176658599468	0.150464571289
a31	0.141995615545	0.26312227752	0.134351659293	0.141952246391	0.180310871889	0.138267344096
a14	0.131989723422	0.269480931173	0.136234126698	0.156387890797	0.178253209096	0.127654109965
a41	0.116240454474	0.282837153724	0.132688089566	0.164311966932	0.178545438032	0.125376876788
a37	0.117811379298	0.300505242575	0.128783811855	0.157214773644	0.175910212477	0.119774564663
a31	0.125328534106	0.299358298858	0.128358706218	0.149406618281	0.172696155492	0.124851685354
a6	0.109774996969	0.299622202086	0.137850330939	0.158036478827	0.152463425564	0.142252570118
a46	0.088833299723	0.328680459829	0.134891674513	0.158406797676	0.136045302055	0.153142469973
a31	0.094408774541	0.358088687276	0.123890459638	0.148732737625	0.119754054885	0.155125283724
a17	0.0924078514137	0.369963106759	0.121940931146	0.147461729875	0.103859135628	0.164367241908
a20	0.0813261584046	0.370543978186	0.123264133382	0.150270144625	0.100067536143	0.174528051503
a31	0.0831779052682	0.363820503595	0.129152563794	0.146157837275	0.108930480448	0.168760715234
a17	0.0811986210894	0.350232917665	0.132610299398	0.142622243492	0.127533168683	0.165802764545
a20	0.0798706080965	0.329518090822	0.134397862866	0.148901025164	0.136273571761	0.171038850915
a31	0.0912466694988	0.306838581741	0.135753768422	0.147252985321	0.15683794752	0.162070045972
a20	0.0971653668996	0.286834963314	0.136897312941	0.149233754374	0.17191380224	0.157954790857
a17	0.0996653739665	0.259811337638	0.139988784714	0.159556655125	0.175088154347	0.165889687619
a31	0.115307245889	0.228222689453	0.136057504838	0.160524039308	0.190090777049	0.169797734806
a23	0.125187577396	0.200195129658	0.137762294546	0.164551719636	0.18897861435	0.183324649202
a31	0.131203967732	0.179694511153	0.139139821382	0.166218286145	0.195185424517	0.188557988401
a8	0.135748780311	0.169767865384	0.137661915327	0.167431658715	0.197505469906	0.1918843188
a31	0.13721484357	0.161846009728	0.136634686176	0.168401081572	0.199049688635	0.196853702267
a28	0.137993692257	0.149577867109	0.130252305259	0.171448642524	0.206865960212	0.203861541422
a21	0.131034092952	0.14458328777	0.133883058553	0.182837116841	0.195223953404	0.212438488207
a31	0.135387764251	0.146212905323	0.136543893184	0.17843051228	0.199519855801	0.203905075802
</S>	0.143753016826	0.146582923862	0.132643837092	0.17050456814	0.209520614901	0.196995055901
