 	non	ti	dimentichiamo	mai	</S>
a8	0.262673591	0.268723307	0.22188677447	0.1120571512	0.1346591631
a31	0.299098726667	0.279830335667	0.212407057537	0.1040559458	0.104607926633
a20	0.306362259889	0.326819127889	0.193946061049	0.0905904329333	0.0822821107443
a31	0.317192525296	0.37322422863	0.182854054413	0.0644398207111	0.0622893659148
a13	0.301431074432	0.38229869621	0.179125506258	0.060073545237	0.0770711795716
a31	0.280753234144	0.384959283403	0.175500021377	0.0610813628457	0.0977060996772
a13	0.246346778715	0.397161705134	0.17437036955	0.0663177871819	0.115803362446
a1	0.207568303572	0.384535307045	0.182106856663	0.0753234847273	0.150466033282
a31	0.198525119724	0.365840585682	0.190285045508	0.0878395574558	0.157509654874
a41	0.183887302441	0.381207940561	0.189515207703	0.0997869832986	0.145602541338
a15	0.171234888814	0.397432670854	0.177859684168	0.0955112722995	0.157961476913
a13	0.190575189205	0.380009062951	0.164476483589	0.0822962331665	0.182643026371
a31	0.202112786668	0.366444635917	0.16541260233	0.0889584865222	0.177071472524
a11	0.204936569223	0.342393863572	0.159142064043	0.116913323974	0.176614162375
a31	0.202831325608	0.277252525857	0.161484989281	0.147706288125	0.210724868858
a46	0.198137154536	0.223442586019	0.164243646894	0.172454939375	0.241721671953
a31	0.192038552512	0.191014578673	0.164010806831	0.194063065792	0.258872985984
a46	0.187166378037	0.176474580558	0.165036004144	0.208855736264	0.262467292661
a31	0.187927443612	0.170318662319	0.164954951381	0.218604153755	0.25819478622
</S>	0.183412669206	0.159086523759	0.175218988691	0.226518566877	0.25576324911
