 	dei	genitori	</S>
a31	0.45588492	0.3262000596	0.2179150304
a20	0.520116217333	0.330485805133	0.149397975667
a31	0.545111574444	0.337937414511	0.116951006822
a18	0.552957913481	0.328488815304	0.118553282074
a24	0.512116668494	0.331012567635	0.156870774825
a28	0.455848260831	0.342410690545	0.201741052942
a31	0.395297346544	0.344009128182	0.260693529647
a20	0.349591025115	0.339976916061	0.310432065882
a31	0.330819720038	0.326224156687	0.342956123294
a20	0.319067748413	0.299006815562	0.381925449765
a39	0.314068516271	0.288324545187	0.397606960588
a46	0.304491050824	0.280249991062	0.415258960196
</S>	0.296711428412	0.270478306531	0.432810257098
