 	l	ho	sentito	che	veniva	</S>
a41	0.183675831	0.1269413548	0.1474961534	0.1654817338	0.2410985002	0.1353064227
a31	0.215480303667	0.1646312268	0.159805882733	0.175068447267	0.1775875938	0.107426547833
a24	0.223647674289	0.204675320267	0.160182945711	0.191567249089	0.126516627867	0.0934101935443
a15	0.208360644496	0.191499630756	0.15907865377	0.205441040363	0.132470997422	0.103149029181
a28	0.207141479499	0.157728036919	0.15754026459	0.222644819454	0.140396171007	0.114549212194
a0	0.210949611166	0.13127220404	0.14637756453	0.242437272151	0.143583139536	0.125380205731
a31	0.218099064522	0.127666905347	0.141731433443	0.229411033984	0.136963549512	0.146128037177
a11	0.202089991974	0.137025898716	0.136964937348	0.211339785595	0.137091735771	0.175487682059
a31	0.182716937658	0.146004651239	0.134297254116	0.194157985598	0.135477256257	0.20734593762
a39	0.176273637886	0.14462797748	0.131419603105	0.180623381599	0.126389400286	0.240666017207
a20	0.160249028395	0.130128567027	0.131542563035	0.179484309866	0.134060741962	0.264534807736
</S>	0.151124375847	0.122214722213	0.134921105518	0.179202782933	0.139626252481	0.272910789868
