 	deve	essere	bianco	</S>
a31	0.2267817258	0.1643215582	0.4403905566	0.1685061623
a11	0.223476710267	0.117859280267	0.480137873667	0.178526147367
a31	0.228670714022	0.105695166422	0.469602033756	0.196032093056
a37	0.253510856341	0.111124632874	0.460133372385	0.175231137285
a31	0.263225024914	0.125742935625	0.460109969128	0.150922072828
a37	0.254101958305	0.138559602875	0.454411357576	0.152927088209
a31	0.248755120835	0.151783941225	0.440093460392	0.15936748987
a20	0.240192495078	0.150727644075	0.428539294464	0.18054057749
a31	0.224604005959	0.149060513625	0.422710855821	0.20362463803
a0	0.209104657453	0.151511045275	0.416560533274	0.22282378421
a31	0.199101413818	0.160362617092	0.389970346425	0.250565642737
a20	0.191353161006	0.176061115364	0.357136963475	0.275448768912
a18	0.190183780069	0.200640065721	0.311500979158	0.297675182971
</S>	0.187635617034	0.223000482261	0.282517756579	0.306846163485
