 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
a31	0.165272838	0.1267423205	0.1035188428	0.1272150552	0.1149658883	0.1243287953	0.15757686985	0.0803793744
a39	0.176705199067	0.126966969167	0.1186177216	0.133060405867	0.0879700560667	0.1120483821	0.165617201003	0.0790140536667
a41	0.163156292689	0.131110578056	0.141349605467	0.145815579289	0.0722706860556	0.0787413091667	0.180646124994	0.0869098008889
a39	0.159962131496	0.137338176352	0.135205027689	0.15536665603	0.0787631296852	0.0614379059222	0.198276617705	0.073650327563
a20	0.158837985765	0.132904875784	0.11916232283	0.17339707961	0.0879099296951	0.0582140764407	0.206356876102	0.063216841721
a0	0.154775594722	0.120077710261	0.100284560877	0.18904981387	0.0864768914984	0.0676766492136	0.211172982834	0.0704857993737
a31	0.157003399441	0.105688792554	0.0854621590257	0.19510973189	0.0690626494661	0.0739091517379	0.212036366011	0.101727763325
a13	0.154412790014	0.094909405518	0.0854535368952	0.201725528543	0.0539327765887	0.0675273659793	0.193997301737	0.148041304575
a17	0.139625795471	0.092446550906	0.0927110321851	0.189101962028	0.0610520208629	0.0663624179931	0.180378431312	0.178321793192
a31	0.141547592957	0.095394046702	0.0952989883284	0.149349615649	0.0796590012876	0.072729694731	0.164678921037	0.201342137397
a3	0.133132347699	0.094242617474	0.0964886677728	0.14807870865	0.0846395490959	0.0764724198437	0.134943208012	0.232002475866
a46	0.110332291906	0.089985640818	0.0936248048076	0.147939892183	0.087240431632	0.0823870986146	0.129159045337	0.259330782355
</S>	0.105457928593	0.089913744339	0.0881284376338	0.125033568551	0.095238620716	0.0882584644073	0.134383321669	0.273585896178
