 	siete	cucinato	</S>
a20	0.605704575	0.2057772407	0.1885182092
a31	0.677763600333	0.187946153767	0.134290270333
a18	0.716976060778	0.177515835722	0.105508125178
a21	0.722418658259	0.178158629774	0.099422731726
a37	0.712352422086	0.177945707925	0.109701891709
a21	0.670246121362	0.193806176175	0.135947722703
a31	0.567687911787	0.225877659392	0.206434448434
a18	0.444620642596	0.266211376464	0.289167996811
a31	0.344040168332	0.290818145488	0.365141701604
</S>	0.293100808366	0.295123029744	0.411776183802
