 	non	mi	aspetti	che	non	vengo	</S>
a8	0.1422642084	0.1730396276	0.1645764948	0.1600814446	0.1628976821	0.1048007344	0.0923398086
a31	0.161886147333	0.198014123067	0.1870153366	0.158146135267	0.153198574767	0.0805738927333	0.06116579222
a24	0.186986327378	0.216017846222	0.1859355186	0.154856880156	0.141348424589	0.0653868535778	0.0494681376667
a31	0.195314523126	0.223158361407	0.182475820533	0.149096721185	0.12930733993	0.0681820524859	0.0524651884822
a36	0.187972583709	0.219197857536	0.167352969244	0.158021554462	0.120774308377	0.0766793676553	0.0700013803474
a31	0.173763613936	0.213410952979	0.141210792348	0.182010430821	0.128390244126	0.0834370524851	0.0777769322825
a39	0.163096134812	0.198464456193	0.120528415983	0.176009416274	0.149458029642	0.117207485295	0.0752360804275
a8	0.136296595671	0.155931864998	0.104624833328	0.151278865425	0.172110123281	0.176256556832	0.103501157276
a31	0.117626952157	0.119969559866	0.109626668776	0.136163991142	0.168149026627	0.189057814277	0.159405980492
a29	0.109874626986	0.104272558555	0.126543692259	0.145260236381	0.155411027942	0.174256366759	0.184381499497
a31	0.100792089262	0.0937617592517	0.131415574886	0.14927058126	0.156376965314	0.171375020253	0.197008018766
a17	0.0936916424873	0.0855281647506	0.124661954762	0.157105834687	0.152951203305	0.165956486751	0.220104718589
</S>	0.0871511478436	0.0799137775753	0.120753151881	0.175447786044	0.146649324952	0.163950381375	0.226134434795
