 	vuole	bianco	</S>
a20	0.365662322	0.428179292	0.2061583957
a31	0.371938316	0.469817452	0.158244229233
a11	0.392677181333	0.472375872	0.134946936544
a31	0.400423857378	0.477326976667	0.122249152848
a39	0.369658470726	0.491032486889	0.139309027349
a20	0.356367506909	0.478812472963	0.16482000645
a31	0.30772615797	0.463411105654	0.22886273015
a39	0.24584774719	0.469473945218	0.284678308717
a46	0.238311650597	0.488744255739	0.272944112239
a24	0.242129604199	0.487836377246	0.270034038746
a46	0.2448156934	0.466932263082	0.288252054915
</S>	0.2442760547	0.452327364541	0.303396595457
