 	che	vende	buon	pane	</S>
a17	0.23417367	0.213541092	0.2127502535	0.1874912472	0.1520437076
a31	0.287689266667	0.198180713467	0.221386011033	0.176859739133	0.115884248733
a11	0.288091456889	0.194766210956	0.255189430544	0.173084084178	0.088868806911
a39	0.242177562096	0.183260219052	0.280291214181	0.180760661926	0.113510341237
a35	0.205565156899	0.160904883351	0.268897790327	0.186818987975	0.177813185946
a39	0.2027572037	0.153302546384	0.253028800909	0.175011644525	0.215899806782
a31	0.193246097233	0.155521263595	0.24603564217	0.181652327108	0.223544671661
a24	0.168477324744	0.150523855332	0.23361390439	0.203820837436	0.24356407422
a18	0.167551015581	0.157591036777	0.217116434463	0.211482519145	0.24625898074
a31	0.18660947586	0.192487944926	0.201100799821	0.200219722648	0.219582044247
a13	0.189131424087	0.214605119642	0.190357438674	0.172093047549	0.233812957416
a31	0.178216784962	0.216463419214	0.182112312091	0.156475271583	0.266732205139
a46	0.171842342854	0.218281298071	0.16842971043	0.155712576261	0.285734070713
a8	0.158629279285	0.20706470569	0.16702932841	0.174563461487	0.292713225504
</S>	0.153973546543	0.202143732845	0.172055679205	0.189179989243	0.282647058152
