 	non	ho	dove	d	andare	</S>
a20	0.2007136828	0.1586131429	0.1623382221	0.1361154212	0.165372812	0.1768467095
a31	0.246089805733	0.1842458449	0.169130582167	0.119393106067	0.1437844414	0.137356215967
a37	0.281279609244	0.2286092403	0.172707283589	0.0942492097557	0.1175311214	0.105623513256
a31	0.281677736415	0.259981138767	0.195097666196	0.0889444092519	0.100096402	0.074202619752
a29	0.254830648472	0.247040774922	0.202696039665	0.0861051500173	0.111516007533	0.0978113762507
a41	0.231501633157	0.207260845907	0.193202716155	0.0926861176058	0.141118105111	0.13423058335
a31	0.224693138386	0.190419859569	0.199134668385	0.111677236535	0.14075843577	0.133316665717
a18	0.203081441662	0.187652204523	0.189388922528	0.129326622778	0.14433115599	0.146219665706
a31	0.173132564887	0.161875622108	0.160974169909	0.145733880526	0.164735781063	0.193548000302
a39	0.157881516096	0.138043733969	0.142606707103	0.157046242309	0.194135741688	0.210286077167
a31	0.149140209065	0.130389135323	0.131047645901	0.16493100677	0.211509487229	0.212982527722
a8	0.133439516322	0.118660173441	0.124117150967	0.174052085257	0.220457919076	0.229273164574
a31	0.127381579841	0.116995506547	0.127466931922	0.178391333552	0.220192890692	0.229571765925
a8	0.124446587914	0.115989880516	0.132438894374	0.176638298317	0.206556174231	0.243930175708
</S>	0.119587845207	0.112754568158	0.130226007787	0.173031410158	0.207500189615	0.256899989854
